Iteration,VS,Thickness,Likelihood,Misfit,Acceptance,VpVs0
1,"[943, 3141, 3200, 3325, 3379, 3688, 4227]","[858, 3446, 4108, 4270, 7173, 8315, 0]",0.23204748958749144,2.92,1,3.36
5,"[943, 3141, 3200, 3325, 3379, 3688, 4227]","[858, 3446, 4108, 4270, 7173, 8315, 0]",0.23204748958749144,2.92,0,3.36
8,"[943, 3141, 3200, 3325, 3379, 3688, 3987]","[858, 3446, 4108, 4270, 7173, 8315, 0]",0.2248359256821262,2.98,1,3.36
10,"[943, 3141, 3200, 3325, 3379, 3688, 3987]","[858, 3446, 4108, 4270, 7173, 8315, 0]",0.2249783384453153,2.98,1,3.36
12,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 3446, 4108, 4270, 7173, 8315, 0]",0.21679914511936757,3.06,1,3.36
14,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 3446, 4108, 4270, 5095, 8315, 0]",0.18187334651070564,3.41,1,3.36
16,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 3446, 4108, 4270, 5095, 8315, 0]",0.18187334651070564,3.41,0,3.36
19,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 3446, 4108, 4270, 5095, 8315, 0]",0.18187334651070564,3.41,0,3.36
28,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 3446, 4108, 4270, 5095, 8315, 0]",0.1804405695512244,3.42,1,3.3
36,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 3446, 4108, 4270, 5095, 7331, 0]",0.18172141614401582,3.41,1,3.3
38,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 3446, 4108, 4270, 5095, 11450, 0]",0.16275063425870723,3.63,1,3.3
45,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 3446, 4108, 4270, 7120, 11450, 0]",0.14923518910458514,3.8,1,3.3
47,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 3446, 4108, 4270, 7070, 11450, 0]",0.15034501237661288,3.79,1,3.3
48,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 3446, 4108, 4270, 4301, 11450, 0]",0.1675846896317317,3.57,1,3.3
54,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 3446, 4108, 4270, 4301, 11450, 0]",0.1675846896317317,3.57,0,3.3
56,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 3446, 4108, 4270, 4558, 11450, 0]",0.1667641547641714,3.58,1,3.3
58,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 1522, 4108, 4270, 4558, 11450, 0]",0.19389031426960093,3.28,1,3.3
63,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 1522, 4108, 4270, 4558, 11450, 0]",0.19742391339168905,3.24,1,3.49
66,"[943, 3141, 3266, 3325, 3379, 3688, 3987]","[858, 1522, 4108, 4270, 4558, 14598, 0]",0.19069399719302688,3.31,1,3.49
68,"[943, 3141, 3266, 3325, 3379, 3688, 3957]","[858, 1522, 4108, 4270, 4558, 14598, 0]",0.19150535230544782,3.31,1,3.49
69,"[943, 3141, 3266, 3325, 3379, 3688, 3957]","[858, 1522, 4108, 4270, 4558, 14598, 0]",0.19150535230544782,3.31,0,3.49
89,"[943, 2672, 3266, 3325, 3379, 3688, 3957]","[858, 1522, 4108, 4270, 4558, 14598, 0]",0.14806583418026512,3.82,1,3.49
91,"[943, 2672, 3266, 3325, 3379, 3688, 4500]","[858, 1522, 4108, 4270, 4558, 14598, 0]",0.11326804552508465,4.36,1,3.49
97,"[943, 2672, 3266, 3325, 3379, 3688, 4500]","[858, 1522, 4108, 4270, 4558, 14598, 0]",0.11326804552508465,4.36,1,3.49
98,"[943, 2672, 3266, 3325, 3379, 3688, 4317]","[858, 1522, 4108, 4270, 4558, 14598, 0]",0.13708716610970753,3.97,1,3.49
102,"[943, 2672, 3266, 3325, 3379, 3688, 4317]","[858, 1522, 4108, 4270, 4558, 14598, 0]",0.13554721831589533,4.0,1,3.45
