Iteration,VS,Thickness,Likelihood,Misfit,Acceptance,VpVs0
1,"[928, 2762, 2943, 3093, 3320, 3448, 4236]","[738, 1166, 2301, 2681, 6135, 14885, 0]",0.1070740614736815,4.47,1,3.48
5,"[928, 2762, 2943, 3093, 3320, 3448, 4236]","[738, 1166, 2301, 2681, 6135, 14885, 0]",0.1070740614736815,4.47,0,3.48
8,"[928, 2762, 2943, 3093, 3320, 3448, 3996]","[738, 1166, 2301, 2681, 6135, 14885, 0]",0.1060474307646803,4.49,1,3.48
9,"[928, 2912, 2943, 3093, 3320, 3448, 3996]","[738, 1166, 2301, 2681, 6135, 14885, 0]",0.109692479608951,4.42,1,3.48
10,"[928, 2912, 2943, 3093, 3320, 3448, 3996]","[738, 1166, 2301, 2681, 6135, 14885, 0]",0.1097027738765326,4.42,1,3.48
12,"[928, 2912, 3009, 3093, 3320, 3448, 3996]","[738, 1166, 2301, 2681, 6135, 14885, 0]",0.1109232117997519,4.4,1,3.48
15,"[928, 2912, 3009, 3093, 3320, 3448, 3996]","[738, 1166, 2301, 2681, 6135, 14713, 0]",0.1108543712437773,4.4,1,3.48
20,"[928, 2912, 3009, 3093, 3320, 3448, 3996]","[738, 1166, 2301, 2681, 6135, 14713, 0]",0.1108543712437773,4.4,0,3.48
21,"[928, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1166, 2301, 2681, 6135, 14713, 0]",0.1087539102437616,4.44,1,3.48
24,"[928, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1166, 2301, 2681, 6135, 14713, 0]",0.1087539102437616,4.44,0,3.48
26,"[928, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1166, 2301, 2681, 6135, 15397, 0]",0.1022250940373954,4.56,1,3.48
34,"[880, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1166, 2301, 2681, 6135, 15397, 0]",0.0946685509476347,4.71,1,3.42
35,"[880, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1166, 2301, 2681, 6135, 15397, 0]",0.0946685509476347,4.71,0,3.42
39,"[880, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1166, 2301, 4375, 6135, 15397, 0]",0.043205722755156,6.28,1,3.42
41,"[880, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1166, 2301, 4375, 6135, 13517, 0]",0.0991265340945222,4.62,1,3.42
43,"[880, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1166, 1681, 4375, 6135, 13517, 0]",0.1100384692296994,4.41,1,3.42
45,"[962, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1166, 1681, 4375, 6135, 13517, 0]",0.0902901835403872,4.81,1,3.42
47,"[962, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1166, 1681, 4375, 6135, 13616, 0]",0.0908341856737504,4.8,1,3.42
48,"[1020, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1166, 1681, 4375, 6135, 13616, 0]",0.0562175411754329,5.76,1,3.38
51,"[1020, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1033, 1681, 4375, 6135, 13616, 0]",0.0550829301131329,5.8,1,3.38
53,"[1020, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1033, 1681, 4375, 10160, 13616, 0]",0.0185147512793045,7.98,1,3.38
55,"[1020, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1033, 1681, 4375, 10160, 13616, 0]",0.0185147512793045,7.98,0,3.38
62,"[1020, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1033, 2212, 4375, 10160, 13616, 0]",0.0133818318784118,8.63,1,3.38
63,"[1020, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1033, 2212, 4375, 10160, 13616, 0]",0.0133818318784118,8.63,0,3.38
69,"[1020, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1033, 2212, 4375, 10160, 13616, 0]",0.0133818318784118,8.63,0,3.38
70,"[1029, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1033, 2212, 4375, 10160, 13616, 0]",0.0133148442120221,8.64,1,3.47
73,"[972, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1033, 2212, 4375, 10160, 13616, 0]",0.0176985462774319,8.07,1,3.27
75,"[972, 2912, 3009, 3093, 3320, 3448, 3962]","[738, 1033, 2212, 4375, 10160, 13616, 0]",0.0176985462774319,8.07,0,3.27
