Iteration,VS,Thickness,Likelihood,Misfit,Acceptance,VpVs0
0,"[819, 2932, 2989, 3094, 3162, 3215, 3298]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.3655428123864797,2.01,0,3.45
0,"[819, 2932, 2989, 3094, 3162, 3215, 3298]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.3655428123864797,2.01,0,3.45
0,"[819, 2932, 2989, 3094, 3162, 3215, 3298]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.3655428123864797,2.01,0,3.45
0,"[819, 2932, 2989, 3094, 3162, 3215, 3298]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.3655428123864797,2.01,0,3.45
0,"[819, 2932, 2989, 3094, 3162, 3215, 3298]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.3655428123864797,2.01,0,3.45
0,"[819, 2932, 2989, 3094, 3162, 3215, 3298]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.3655428123864797,2.01,0,3.45
0,"[819, 2932, 2989, 3094, 3162, 3215, 3298]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.3655428123864797,2.01,0,3.45
0,"[819, 2932, 2989, 3094, 3162, 3215, 3298]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.3655428123864797,2.01,0,3.45
0,"[819, 2932, 2989, 3094, 3162, 3215, 3298]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.3655428123864797,2.01,0,3.45
0,"[819, 2932, 2989, 3094, 3162, 3215, 3298]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.3655428123864797,2.01,0,3.45
1,"[819, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.16892995318194623,3.56,1,3.45
3,"[728, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.11120591722591201,4.39,1,3.45
4,"[733, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.10944722803202056,4.42,1,3.33
8,"[783, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.15750330923384695,3.7,1,3.39
10,"[783, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8134, 0]",0.15128045656694206,3.78,1,3.32
11,"[783, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8530, 0]",0.163560071966587,3.62,1,3.32
12,"[783, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8530, 0]",0.163560071966587,3.62,0,3.32
13,"[783, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8530, 0]",0.163560071966587,3.62,0,3.32
17,"[783, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8530, 0]",0.1590247553058932,3.68,1,3.29
19,"[783, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8530, 0]",0.1590247553058932,3.68,0,3.29
20,"[845, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8530, 0]",0.17255161611292996,3.51,1,3.29
25,"[845, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8530, 0]",0.16538928766301908,3.6,1,3.21
27,"[845, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8530, 0]",0.16538928766301908,3.6,0,3.21
31,"[845, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8530, 0]",0.1540413733404328,3.74,1,3.1
34,"[845, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8530, 0]",0.1540413733404328,3.74,0,3.1
37,"[845, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8530, 0]",0.1670757243390774,3.58,1,3.22
40,"[845, 2932, 2989, 3094, 3162, 3215, 3901]","[672, 2929, 4724, 4799, 5501, 8530, 0]",0.1670757243390774,3.58,0,3.22
