Iteration,VS,Thickness,Likelihood,Misfit,Acceptance,VpVs0
1,"[858, 3377, 3489, 3541, 3609, 3816, 4439]","[673, 2116, 5373, 5462, 7161, 7272, 0]",0.0976658000335704,4.65,1,3.21
2,"[858, 3377, 3489, 3541, 3609, 3816, 4439]","[673, 3171, 5373, 5462, 7161, 7272, 0]",0.0849219535767788,4.93,1,3.21
5,"[933, 3377, 3489, 3541, 3609, 3816, 4439]","[673, 3171, 5373, 5462, 7161, 7272, 0]",0.0772184293279896,5.12,1,3.21
8,"[933, 3377, 3489, 3541, 3609, 3816, 4199]","[673, 3171, 5373, 5462, 7161, 7272, 0]",0.0816923485990464,5.01,1,3.21
9,"[933, 3377, 3489, 3541, 3609, 3816, 4199]","[673, 3171, 5373, 5462, 7161, 8174, 0]",0.0721723926327413,5.26,1,3.21
10,"[933, 3377, 3489, 3541, 3609, 3816, 4199]","[673, 3171, 5373, 5462, 7161, 8174, 0]",0.0721964315391553,5.26,1,3.21
13,"[933, 3377, 3489, 3541, 3609, 3816, 4199]","[673, 1320, 5373, 5462, 7161, 8174, 0]",0.0814298603598923,5.02,1,3.21
15,"[933, 3377, 3489, 3541, 3609, 3816, 4199]","[673, 1320, 5373, 5462, 7161, 8002, 0]",0.0823479944708409,4.99,1,3.21
20,"[933, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7161, 8002, 0]",0.0838262319512483,4.96,1,3.21
21,"[933, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7161, 8002, 0]",0.0836796516725986,4.96,1,3.2
25,"[933, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7161, 8062, 0]",0.083684091629067,4.96,1,3.2
27,"[859, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7161, 8062, 0]",0.0877615421590652,4.87,1,3.24
30,"[883, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7161, 8062, 0]",0.0873500652997098,4.88,1,3.14
31,"[853, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7161, 8062, 0]",0.0892294114517711,4.83,1,3.3
34,"[858, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7161, 8062, 0]",0.0911884001892208,4.79,1,3.31
38,"[858, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7161, 8062, 0]",0.0911884001892208,4.79,0,3.31
41,"[858, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7161, 8062, 0]",0.0921410758999598,4.77,1,3.34
42,"[858, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7161, 8062, 0]",0.0879467299992367,4.86,1,3.25
43,"[802, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7161, 8062, 0]",0.0628586732916292,5.53,1,3.25
44,"[802, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7161, 8062, 0]",0.0451323273223916,6.2,1,2.95
48,"[802, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7111, 8062, 0]",0.0450342333229316,6.2,1,2.95
56,"[802, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7111, 8062, 0]",0.0450342333229316,6.2,0,2.95
57,"[802, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7718, 8062, 0]",0.0438549149096901,6.25,1,2.95
63,"[802, 3377, 3489, 3541, 3609, 3816, 4218]","[673, 1320, 5373, 5462, 7718, 8062, 0]",0.0438549149096901,6.25,0,2.95
64,"[802, 3377, 3489, 3541, 3609, 3816, 4295]","[673, 1320, 5373, 5462, 7718, 8062, 0]",0.0465850520135857,6.13,1,2.95
65,"[802, 3377, 3489, 3541, 3609, 3816, 4295]","[673, 1320, 5373, 5462, 7718, 8062, 0]",0.0482781930056826,6.06,1,2.98
66,"[802, 3377, 3489, 3541, 3609, 3816, 4295]","[673, 1320, 5373, 5462, 7718, 8062, 0]",0.0482781930056826,6.06,0,2.98
71,"[802, 3377, 3489, 3541, 3609, 3816, 4295]","[673, 1320, 5373, 5462, 7718, 8062, 0]",0.0482781930056826,6.06,0,2.98
74,"[802, 3377, 3489, 3541, 3609, 3816, 4295]","[673, 1320, 5373, 5462, 7718, 8062, 0]",0.0482781930056826,6.06,0,2.98
77,"[829, 3377, 3489, 3541, 3609, 3816, 4295]","[673, 1320, 5373, 5462, 7718, 8062, 0]",0.0673902138126244,5.39,1,3.07
80,"[829, 3377, 3489, 3541, 3609, 4006, 4295]","[673, 1320, 5373, 5462, 7718, 8062, 0]",0.0543702619438287,5.82,1,3.07
81,"[829, 3377, 3489, 3541, 3609, 4006, 4295]","[673, 1320, 5373, 5462, 7718, 8062, 0]",0.0543702619438287,5.82,0,3.07
85,"[888, 3377, 3489, 3541, 3609, 4006, 4295]","[673, 1320, 5373, 5462, 7718, 8062, 0]",0.0679654750543419,5.38,1,3.21
89,"[888, 3377, 3489, 3541, 3609, 4006, 4295]","[673, 1320, 5373, 5462, 7718, 8062, 0]",0.0679654750543419,5.38,0,3.21
91,"[888, 3377, 3489, 3541, 3609, 4006, 4295]","[673, 1221, 5373, 5462, 7718, 8062, 0]",0.0672438191082509,5.4,1,3.21
96,"[888, 3377, 3489, 3541, 3609, 4006, 4295]","[673, 1221, 5373, 5462, 7768, 8062, 0]",0.0674972142359661,5.39,1,3.21
102,"[888, 3377, 3489, 3541, 3609, 4006, 4295]","[673, 1221, 5373, 5462, 7768, 8062, 0]",0.066347030181486,5.43,1,3.17
106,"[888, 3377, 3489, 3541, 3609, 4006, 4295]","[673, 1221, 5373, 5462, 7768, 8062, 0]",0.066347030181486,5.43,0,3.17
109,"[888, 3377, 3489, 3541, 3609, 4006, 4295]","[673, 1221, 3806, 5462, 7768, 8062, 0]",0.0625517053789149,5.54,1,3.17
111,"[888, 3377, 3489, 3541, 3609, 4006, 4295]","[673, 1221, 3806, 5462, 7768, 8062, 0]",0.0625517053789149,5.54,0,3.17
114,"[888, 3377, 3489, 3541, 3609, 4217, 4295]","[673, 1221, 3806, 5462, 7768, 8062, 0]",0.0304958625094902,6.98,1,3.17
117,"[945, 3377, 3489, 3541, 3609, 4217, 4295]","[673, 1221, 3806, 5462, 7768, 8062, 0]",0.0244363589070197,7.42,1,2.94
118,"[945, 3377, 3489, 3541, 3609, 4217, 4295]","[673, 1221, 3806, 5462, 7768, 8062, 0]",0.0244363589070197,7.42,0,2.94
121,"[1102, 3377, 3489, 3541, 3609, 4217, 4295]","[673, 1221, 3806, 5462, 7768, 8062, 0]",0.0082302847567753,9.6,1,2.81
123,"[1102, 3377, 3489, 3541, 3609, 4217, 4295]","[673, 1221, 2647, 5462, 7768, 8062, 0]",0.0106954373971285,9.08,1,2.81
124,"[1102, 3377, 3489, 3541, 4042, 4217, 4295]","[673, 1221, 2647, 5462, 7768, 8062, 0]",0.0228176357041664,7.56,1,2.81
127,"[1087, 3377, 3489, 3541, 4042, 4217, 4295]","[673, 1221, 2647, 5462, 7768, 8062, 0]",0.027245926148703,7.21,1,2.97
131,"[1087, 3377, 3489, 3880, 4042, 4217, 4295]","[673, 1221, 2647, 5462, 7768, 8062, 0]",0.0290362582549278,7.08,1,2.97
133,"[1059, 3377, 3489, 3880, 4042, 4217, 4295]","[673, 1221, 2647, 5462, 7768, 8062, 0]",0.0337517029198745,6.78,1,2.97
134,"[1059, 3377, 3489, 3880, 4042, 4217, 4295]","[673, 1221, 2647, 5071, 7768, 8062, 0]",0.0332206776184719,6.81,1,2.97
137,"[1059, 3377, 3489, 3880, 4042, 4217, 4295]","[673, 1221, 2647, 5071, 7768, 8062, 0]",0.0332206776184719,6.81,0,2.97
140,"[1059, 3377, 3489, 3880, 4042, 4217, 4295]","[673, 1221, 2647, 7380, 7768, 8062, 0]",0.0309990111953828,6.95,1,2.97
141,"[1059, 3377, 3489, 3880, 4042, 4217, 4295]","[673, 1221, 2647, 7380, 7768, 8062, 0]",0.0321852833204768,6.87,1,3.06
143,"[1059, 3052, 3489, 3880, 4042, 4217, 4295]","[673, 1221, 2647, 7380, 7768, 8062, 0]",0.0299741608642779,7.01,1,3.06
145,"[1059, 3052, 3489, 3880, 4042, 4217, 4295]","[673, 1221, 2647, 7380, 7768, 10199, 0]",0.0297737205067759,7.03,1,3.06
148,"[1059, 3052, 3489, 3880, 4042, 4217, 4295]","[673, 1221, 2647, 7380, 7768, 10199, 0]",0.0277857701708507,7.17,1,3.0
152,"[1059, 3052, 3489, 3880, 4042, 4217, 4295]","[673, 1221, 2074, 7380, 7768, 10199, 0]",0.0281267345549051,7.14,1,3.0
153,"[1059, 3052, 3489, 3880, 4042, 4217, 4295]","[673, 1221, 2074, 7380, 7768, 10199, 0]",0.029375012931437,7.06,1,3.04
154,"[1059, 3052, 3489, 3880, 4042, 4217, 4500]","[673, 1221, 2074, 7380, 7768, 10199, 0]",0.0387469351860214,6.5,1,3.04
155,"[1059, 3052, 3489, 3880, 4042, 4217, 4500]","[673, 1221, 2074, 7380, 7768, 10199, 0]",0.0387469351860214,6.5,1,3.04
157,"[1059, 3052, 3489, 3880, 4042, 4217, 4500]","[673, 1221, 2074, 7380, 7768, 10199, 0]",0.0387469351860214,6.5,0,3.04
158,"[1059, 3052, 3489, 3880, 4042, 4217, 4500]","[673, 1221, 2074, 7380, 7768, 10199, 0]",0.0387469351860214,6.5,1,3.04
159,"[1059, 3052, 3489, 3880, 4042, 4217, 4500]","[673, 1221, 2074, 7380, 7768, 10199, 0]",0.0387469351860214,6.5,1,3.04
160,"[1059, 3052, 3489, 3880, 4042, 4217, 4500]","[673, 1221, 5111, 7380, 7768, 10199, 0]",0.0295924044733029,7.04,1,3.04
164,"[1036, 3052, 3489, 3880, 4042, 4217, 4500]","[673, 1221, 5111, 7380, 7768, 10199, 0]",0.0312144242996447,6.93,1,3.04
166,"[1036, 3052, 3489, 3880, 4042, 4217, 4500]","[673, 1337, 5111, 7380, 7768, 10199, 0]",0.0295508794112304,7.04,1,3.04
