Iteration,VS,Thickness,Likelihood,Misfit,Acceptance,VpVs0
1,"[774, 3786, 3986, 4015, 4107, 4251, 4500]","[680, 4610, 6008, 7199, 7342, 8006, 0]",0.0479637897564277,6.07,1,3.5
2,"[774, 3786, 3986, 4015, 4107, 4251, 4500]","[680, 5665, 6008, 7199, 7342, 8006, 0]",0.0449237003785342,6.21,1,3.5
5,"[849, 3786, 3986, 4015, 4107, 4251, 4500]","[680, 5665, 6008, 7199, 7342, 8006, 0]",0.1023242655987041,4.56,1,3.5
12,"[849, 3939, 3986, 4015, 4107, 4251, 4500]","[680, 5665, 6008, 7199, 7342, 8006, 0]",0.1053643492200569,4.5,1,3.5
18,"[849, 3939, 3986, 4015, 4107, 4251, 4500]","[680, 5665, 5799, 7199, 7342, 8006, 0]",0.1056841344832205,4.49,1,3.5
19,"[849, 3939, 3986, 4015, 4107, 4251, 4500]","[680, 5085, 5799, 7199, 7342, 8006, 0]",0.1060713635505008,4.49,1,3.5
20,"[849, 3303, 3986, 4015, 4107, 4251, 4500]","[680, 5085, 5799, 7199, 7342, 8006, 0]",0.051808194716879,5.92,1,3.5
23,"[849, 3303, 3986, 4015, 4107, 4251, 4500]","[680, 5085, 5799, 7199, 7342, 8690, 0]",0.0492095688095705,6.02,1,3.5
31,"[849, 3303, 3986, 4015, 4107, 4251, 4500]","[680, 5085, 5799, 7199, 7342, 8690, 0]",0.0492095688095705,6.02,0,3.5
32,"[849, 3303, 3986, 4015, 4107, 4251, 4500]","[680, 5085, 5799, 7199, 7342, 8690, 0]",0.0492095688095705,6.02,0,3.5
41,"[849, 3528, 3986, 4015, 4107, 4251, 4500]","[680, 5085, 5799, 7199, 7342, 8690, 0]",0.083667094374427,4.96,1,3.5
43,"[849, 3528, 3986, 4015, 4107, 4251, 4500]","[680, 2935, 5799, 7199, 7342, 8690, 0]",0.0677556287945986,5.38,1,3.5
44,"[821, 3528, 3986, 4015, 4107, 4251, 4500]","[680, 2935, 5799, 7199, 7342, 8690, 0]",0.0531411218875976,5.87,1,3.45
