Iteration,VS,Thickness,Likelihood,Misfit,Acceptance,VpVs0
1,"[906, 3265, 3377, 3594, 3719, 3871, 4321]","[780, 1945, 3008, 5107, 8036, 12843, 0]",0.1143044183382134,4.34,1,3.42
5,"[906, 3265, 3377, 3594, 3719, 3871, 4321]","[780, 1945, 3008, 5107, 8036, 12843, 0]",0.1143044183382134,4.34,0,3.42
6,"[906, 3265, 3377, 3594, 3719, 3871, 4321]","[780, 1945, 3008, 3814, 8036, 12843, 0]",0.0974149757700326,4.66,1,3.42
10,"[906, 3265, 3443, 3594, 3719, 3871, 4321]","[780, 1945, 3008, 3814, 8036, 12843, 0]",0.0953141970587089,4.7,1,3.42
11,"[906, 3265, 3443, 3594, 3719, 3871, 4012]","[780, 1945, 3008, 3814, 8036, 12843, 0]",0.0779075362910909,5.1,1,3.42
18,"[906, 3265, 3443, 3594, 3719, 3871, 4012]","[780, 1945, 3008, 3814, 4670, 12843, 0]",0.0624575789942587,5.55,1,3.42
19,"[906, 3265, 3443, 3594, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 12843, 0]",0.0624842349279311,5.55,1,3.42
24,"[930, 3265, 3443, 3594, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 12843, 0]",0.0586767381851724,5.67,1,3.32
25,"[900, 3265, 3443, 3594, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 12843, 0]",0.064426623858659,5.48,1,3.48
28,"[905, 3265, 3443, 3594, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 12843, 0]",0.0650725384484015,5.46,1,3.49
32,"[905, 3265, 3443, 3594, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 12843, 0]",0.0650725384484015,5.46,0,3.49
35,"[905, 3265, 3443, 3594, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 12843, 0]",0.0646887965524611,5.48,1,3.48
37,"[905, 3265, 3443, 3594, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 13749, 0]",0.0638379936470905,5.5,1,3.48
43,"[905, 3265, 3443, 3594, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 10412, 0]",0.0698488915437921,5.32,1,3.48
51,"[905, 3265, 3443, 3594, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 10412, 0]",0.0698488915437921,5.32,1,3.48
57,"[905, 3265, 3443, 3594, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 10412, 0]",0.0698488915437921,5.32,0,3.48
58,"[905, 3265, 3400, 3594, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 10412, 0]",0.0724627744310595,5.25,1,3.48
59,"[905, 3265, 3400, 3594, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 10412, 0]",0.0724627744310595,5.25,0,3.48
61,"[905, 3265, 3400, 3594, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 11453, 0]",0.0701234835638191,5.31,1,3.48
64,"[905, 3265, 3400, 3514, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 11453, 0]",0.0720802517622888,5.26,1,3.48
66,"[905, 3265, 3400, 3514, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 11453, 0]",0.0720802517622888,5.26,0,3.48
70,"[914, 3265, 3400, 3514, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 11453, 0]",0.0597247669773211,5.64,1,3.23
73,"[914, 3265, 3400, 3514, 3719, 3871, 3979]","[780, 1945, 3008, 3814, 4670, 11453, 0]",0.0597247669773211,5.64,0,3.23
76,"[914, 3265, 3400, 3514, 3719, 3871, 3979]","[780, 1945, 3008, 3230, 4670, 11453, 0]",0.0584513761801541,5.68,1,3.23
85,"[914, 3265, 3400, 3514, 3719, 3871, 3979]","[780, 1945, 3008, 3230, 4670, 11453, 0]",0.0584513761801541,5.68,0,3.23
86,"[1250, 3265, 3400, 3514, 3719, 3871, 3979]","[780, 1945, 3008, 3230, 4670, 11453, 0]",0.0049459387062175,10.62,1,3.23
92,"[1169, 3265, 3400, 3514, 3719, 3871, 3979]","[780, 1945, 3008, 3230, 4670, 11453, 0]",0.01115314004316,8.99,1,3.3
93,"[1169, 3265, 3400, 3514, 3719, 3879, 3979]","[780, 1945, 3008, 3230, 4670, 11453, 0]",0.0111226111475119,9.0,1,3.3
100,"[1169, 3265, 3400, 3514, 3719, 3879, 3979]","[780, 1945, 3008, 3230, 7174, 11453, 0]",0.0108450668295772,9.05,1,3.3
103,"[1169, 3265, 3400, 3514, 3752, 3879, 3979]","[780, 1945, 3008, 3230, 7174, 11453, 0]",0.0118552189298454,8.87,1,3.3
104,"[1169, 3265, 3400, 3514, 3752, 3879, 3979]","[780, 1945, 3008, 3230, 7174, 11453, 0]",0.0114905340581778,8.93,1,3.45
109,"[1169, 3265, 3400, 3514, 3752, 3879, 3979]","[780, 1945, 3008, 4892, 7174, 11453, 0]",0.0107347349387652,9.07,1,3.45
110,"[1169, 3265, 3400, 3514, 3752, 3879, 3979]","[780, 1945, 3008, 4892, 8341, 11453, 0]",0.0113612669546394,8.96,1,3.45
113,"[1169, 3265, 3400, 3514, 3752, 3879, 3979]","[780, 1945, 3008, 4892, 8341, 11453, 0]",0.0111886224722043,8.99,1,3.48
117,"[1169, 3265, 3400, 3514, 3752, 3879, 3979]","[780, 1945, 3008, 4892, 7779, 11453, 0]",0.0110567693088525,9.01,1,3.48
118,"[1169, 3265, 3400, 3514, 3752, 3797, 3979]","[780, 1945, 3008, 4892, 7779, 11453, 0]",0.0120461393607647,8.84,1,3.48
