Iteration,VS,Thickness,Likelihood,Misfit,Acceptance,VpVs0
1,"[774, 3786, 3986, 4015, 4107, 4251, 4500]","[333, 4610, 6008, 7199, 7342, 8006, 0]",0.1870742587918999,3.35,1,3.5
2,"[774, 3786, 3986, 4015, 4107, 4251, 4500]","[333, 5665, 6008, 7199, 7342, 8006, 0]",0.1872847418336528,3.35,1,3.5
5,"[774, 3786, 3986, 4068, 4107, 4251, 4500]","[333, 5665, 6008, 7199, 7342, 8006, 0]",0.1904570750799145,3.32,1,3.5
11,"[814, 3786, 3986, 4068, 4107, 4251, 4500]","[333, 5665, 6008, 7199, 7342, 8006, 0]",0.1808178614480293,3.42,1,3.37
16,"[814, 3786, 3986, 4068, 4107, 4251, 4500]","[333, 5665, 6008, 7199, 7342, 8006, 0]",0.1808178614480293,3.42,0,3.37
18,"[814, 3786, 3986, 4068, 4107, 4251, 4500]","[333, 5726, 6008, 7199, 7342, 8006, 0]",0.1783447101658753,3.45,1,3.37
20,"[814, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 5726, 6008, 7199, 7342, 8006, 0]",0.1827919910601942,3.4,1,3.37
32,"[766, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 5726, 6008, 7199, 7342, 8006, 0]",0.1771097660804016,3.46,1,3.31
33,"[766, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 5726, 6008, 7199, 7342, 8006, 0]",0.1771097660804016,3.46,0,3.31
44,"[766, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 3576, 6008, 7199, 7342, 8006, 0]",0.155816721471906,3.72,1,3.31
45,"[737, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 3576, 6008, 7199, 7342, 8006, 0]",0.1332388697180709,4.03,1,3.26
49,"[737, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 3576, 6008, 7199, 7342, 8006, 0]",0.1332388697180709,4.03,0,3.26
51,"[737, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 3576, 6008, 6423, 7342, 8006, 0]",0.1285245034902161,4.1,1,3.26
52,"[766, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 3576, 6008, 6423, 7342, 8006, 0]",0.159050841416072,3.68,1,3.4
53,"[663, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 3576, 6008, 6423, 7342, 8006, 0]",0.0841169763922258,4.95,1,3.47
57,"[663, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 3576, 6008, 6423, 7342, 8006, 0]",0.086241503340251,4.9,1,3.49
58,"[663, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 3576, 6008, 6423, 7342, 8006, 0]",0.0725581142427595,5.25,1,3.33
60,"[663, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 3576, 6008, 6423, 7342, 8006, 0]",0.0834773690482434,4.97,1,3.46
69,"[663, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 3576, 6008, 6423, 7342, 8006, 0]",0.0834773690482434,4.97,1,3.46
71,"[663, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 3576, 6008, 6423, 7342, 8006, 0]",0.0834773690482434,4.97,0,3.46
74,"[663, 3786, 3907, 4068, 4107, 4251, 4500]","[333, 3576, 6008, 6423, 7501, 8006, 0]",0.0848078040088524,4.93,1,3.46
77,"[663, 3786, 3907, 4067, 4107, 4251, 4500]","[333, 3576, 6008, 6423, 7501, 8006, 0]",0.0848076175556501,4.93,1,3.46
80,"[663, 3786, 3907, 4067, 4107, 4251, 4500]","[333, 3576, 3609, 6423, 7501, 8006, 0]",0.0711857911801784,5.28,1,3.46
87,"[663, 3786, 3907, 4067, 4107, 4251, 4500]","[333, 3576, 3609, 6423, 7501, 10114, 0]",0.0736418563144361,5.22,1,3.46
89,"[663, 3786, 3907, 4067, 4107, 4251, 4409]","[333, 3576, 3609, 6423, 7501, 10114, 0]",0.0774454355547512,5.12,1,3.46
90,"[663, 3786, 3907, 4067, 4107, 4251, 4409]","[333, 3576, 3609, 6120, 7501, 10114, 0]",0.0768499220033845,5.13,1,3.46
94,"[663, 3786, 3907, 4067, 4107, 4251, 4409]","[333, 1416, 3609, 6120, 7501, 10114, 0]",0.0711585840309328,5.29,1,3.46
