Iteration,VS,Thickness,Likelihood,Misfit,Acceptance,VpVs0
1,"[846, 3687, 3764, 3831, 4004, 4117, 4370]","[186, 1224, 5984, 6726, 9730, 10869, 0]",0.5586100971443632,1.16,1,3.47
5,"[921, 3687, 3764, 3831, 4004, 4117, 4370]","[186, 1224, 5984, 6726, 9730, 10869, 0]",0.5321518478826442,1.26,1,3.47
18,"[921, 3687, 3764, 3831, 4004, 4117, 4370]","[186, 1224, 5775, 6726, 9730, 10869, 0]",0.5338073465008377,1.26,1,3.47
20,"[921, 3050, 3764, 3831, 4004, 4117, 4370]","[186, 1224, 5775, 6726, 9730, 10869, 0]",0.48943740181165374,1.43,1,3.47
21,"[921, 3050, 3764, 3831, 4004, 4117, 4370]","[186, 1224, 5775, 6726, 7308, 10869, 0]",0.49228679469071907,1.42,1,3.47
23,"[921, 3050, 3764, 3831, 4004, 4117, 4370]","[186, 1224, 5775, 6726, 7308, 11553, 0]",0.4932358126733449,1.41,1,3.47
27,"[921, 3050, 3764, 3831, 4004, 4117, 4370]","[186, 1224, 2198, 6726, 7308, 11553, 0]",0.48431402843628313,1.45,1,3.47
40,"[921, 3050, 3764, 3831, 4004, 4117, 4370]","[186, 1224, 2198, 6726, 9333, 11553, 0]",0.4868906254625335,1.44,1,3.47
41,"[921, 3275, 3764, 3831, 4004, 4117, 4370]","[186, 1224, 2198, 6726, 9333, 11553, 0]",0.5219202174147611,1.3,1,3.47
42,"[921, 3275, 3764, 3831, 4004, 4117, 4370]","[186, 1224, 2198, 6726, 10359, 11553, 0]",0.525498834847799,1.29,1,3.47
48,"[934, 3275, 3764, 3831, 4004, 4117, 4370]","[186, 1224, 2198, 6726, 10359, 11553, 0]",0.5217333331857121,1.3,1,3.35
56,"[934, 3275, 3764, 3831, 4004, 4117, 4370]","[186, 1224, 2729, 6726, 10359, 11553, 0]",0.5247274573976465,1.29,1,3.35
58,"[934, 3275, 3764, 3839, 4004, 4117, 4370]","[186, 1224, 2729, 6726, 10359, 11553, 0]",0.5229288544136307,1.3,1,3.35
63,"[907, 3275, 3764, 3839, 4004, 4117, 4370]","[186, 1224, 2729, 6726, 10359, 11553, 0]",0.5204659412440987,1.31,1,3.12
64,"[549, 3275, 3764, 3839, 4004, 4117, 4370]","[186, 1224, 2729, 6726, 10359, 11553, 0]",0.3042782569988055,2.38,1,3.12
68,"[549, 3275, 3764, 3839, 4004, 4117, 4370]","[186, 1224, 2729, 6726, 10240, 11553, 0]",0.30104682670118693,2.4,1,3.12
70,"[549, 3275, 3764, 3839, 3909, 4117, 4370]","[186, 1224, 2729, 6726, 10240, 11553, 0]",0.3052005532025469,2.37,1,3.12
71,"[632, 3275, 3764, 3839, 3909, 4117, 4370]","[186, 1224, 2729, 6726, 10240, 11553, 0]",0.3963018484216236,1.85,1,3.12
73,"[605, 3275, 3764, 3839, 3909, 4117, 4370]","[186, 1224, 2729, 6726, 10240, 11553, 0]",0.3730377899777046,1.97,1,3.12
74,"[605, 3275, 3764, 3839, 3909, 4117, 4370]","[186, 1224, 2729, 6726, 8525, 11553, 0]",0.37253032439305167,1.97,1,3.12
77,"[605, 3275, 3764, 3839, 3909, 4117, 4370]","[186, 1224, 2729, 4956, 8525, 11553, 0]",0.3607952031132947,2.04,1,3.12
80,"[605, 3275, 3764, 3839, 3909, 4117, 4370]","[186, 1224, 2729, 4956, 8525, 11553, 0]",0.37866321255885743,1.94,1,3.27
81,"[728, 3275, 3764, 3839, 3909, 4117, 4370]","[186, 1224, 2729, 4956, 8525, 11553, 0]",0.48845875620176565,1.43,1,3.49
82,"[1250, 3275, 3764, 3839, 3909, 4117, 4370]","[186, 1224, 2729, 4956, 8525, 11553, 0]",0.43334659263218445,1.67,1,3.49
