Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[3427, 3580, 3668, 3747, 3838, 3981, 4305]","[1273, 1963, 2070, 5117, 11417, 15355, 0]",0.60841955678801,0.99,1
2,"[3427, 3580, 3668, 3747, 3838, 3981, 4083]","[1273, 1963, 2070, 5117, 11417, 15355, 0]",0.5199173643879955,1.31,1
5,"[3427, 3580, 3668, 3734, 3838, 3981, 4083]","[1273, 1963, 2070, 5117, 11417, 15355, 0]",0.5228249822374382,1.3,1
9,"[3427, 3580, 3668, 3734, 3838, 3981, 4083]","[1273, 1963, 3079, 5117, 11417, 15355, 0]",0.516620309238253,1.32,1
20,"[3427, 3580, 3668, 3734, 3838, 3981, 4083]","[1273, 1963, 3079, 4372, 11417, 15355, 0]",0.531163757773264,1.27,1
32,"[3427, 3580, 3668, 3734, 3838, 3981, 4083]","[1273, 1963, 4280, 4372, 11417, 15355, 0]",0.47281522786898467,1.5,1
36,"[3427, 3580, 3668, 3734, 3838, 3981, 4083]","[1273, 1963, 4280, 5680, 11417, 15355, 0]",0.40657901894869003,1.8,1
51,"[3427, 3580, 3668, 3734, 3838, 3981, 4083]","[1273, 1963, 4280, 5680, 11417, 12124, 0]",0.4399477102755719,1.64,1
59,"[3427, 3580, 3668, 3734, 3838, 3981, 4083]","[1273, 1963, 4280, 4580, 11417, 12124, 0]",0.4596184680742243,1.55,1
87,"[3427, 3580, 3668, 3734, 3838, 3981, 4083]","[1273, 1963, 4076, 4580, 11417, 12124, 0]",0.4685385486623113,1.52,1
101,"[3427, 3580, 3668, 3734, 3838, 3981, 4083]","[1273, 1963, 4076, 4580, 11417, 12124, 0]",0.4685385486623113,1.52,0
124,"[3427, 3580, 3668, 3734, 3838, 3981, 4083]","[1273, 1963, 4076, 4279, 11417, 12124, 0]",0.4732246165078996,1.5,1
125,"[3427, 3580, 3668, 3734, 3838, 3981, 4083]","[1273, 1963, 4076, 4279, 11417, 13880, 0]",0.4984466302485588,1.39,1
139,"[2799, 3580, 3668, 3734, 3838, 3981, 4083]","[1273, 1963, 4076, 4279, 11417, 13880, 0]",0.47582975910653924,1.49,1
148,"[3065, 3580, 3668, 3734, 3838, 3981, 4083]","[1273, 1963, 4076, 4279, 11417, 13880, 0]",0.5236780924426295,1.29,1
149,"[3065, 3580, 3668, 3734, 3838, 3981, 4267]","[1273, 1963, 4076, 4279, 11417, 13880, 0]",0.6269164378167511,0.93,1
162,"[3065, 3580, 3668, 3734, 3838, 3981, 4267]","[1273, 1963, 4076, 4279, 11417, 15351, 0]",0.5950249209145136,1.04,1
169,"[3065, 3580, 3668, 3734, 3838, 3960, 4267]","[1273, 1963, 4076, 4279, 11417, 15351, 0]",0.5999262811804822,1.02,1
171,"[3065, 3580, 3668, 3734, 3838, 3960, 4267]","[1273, 1963, 4076, 4279, 11417, 11912, 0]",0.54814880821868,1.2,1
179,"[3065, 3580, 3668, 3734, 3838, 4153, 4267]","[1273, 1963, 4076, 4279, 11417, 11912, 0]",0.43461576819905423,1.67,1
184,"[3065, 3580, 3668, 3734, 3925, 4153, 4267]","[1273, 1963, 4076, 4279, 11417, 11912, 0]",0.4723349303784803,1.5,1
186,"[3065, 3580, 3668, 3734, 4097, 4153, 4267]","[1273, 1963, 4076, 4279, 11417, 11912, 0]",0.42861388323355276,1.69,1
189,"[3065, 3580, 3668, 3734, 4097, 4153, 4267]","[1273, 1963, 4076, 4279, 10780, 11912, 0]",0.41964324260196567,1.74,1
197,"[3065, 3580, 3668, 3734, 4097, 4153, 4267]","[1273, 1963, 4076, 4279, 11865, 11912, 0]",0.4354422243075809,1.66,1
198,"[3065, 3580, 3668, 3734, 4097, 4153, 4267]","[1273, 1963, 4076, 4279, 11865, 11912, 0]",0.4354422243075809,1.66,0
