Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[4046, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2650, 6697, 7397, 14502, 23299, 0]",0.5341123343323024,1.25,1
26,"[4046, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2650, 6697, 7397, 14502, 23299, 0]",0.5341123343323024,1.25,1
28,"[4046, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2650, 6697, 9062, 14502, 23299, 0]",0.49773995844147956,1.4,1
39,"[3646, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2650, 6697, 9062, 14502, 23299, 0]",0.4155351061224596,1.76,1
42,"[3646, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2650, 6697, 9062, 14502, 22585, 0]",0.4201075424048251,1.73,1
55,"[3646, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2650, 6697, 9062, 14502, 23202, 0]",0.4162971903315445,1.75,1
63,"[3646, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2939, 6697, 9062, 14502, 23202, 0]",0.4110851206396777,1.78,1
65,"[3646, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2939, 6697, 9062, 14502, 23115, 0]",0.41034758848529085,1.78,1
68,"[3646, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2939, 6697, 9062, 14502, 21454, 0]",0.41920383561061686,1.74,1
73,"[3611, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2939, 6697, 9062, 14502, 21454, 0]",0.4051510708368182,1.81,1
79,"[3611, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2939, 6697, 9062, 14502, 20604, 0]",0.4045720749606111,1.81,1
80,"[3907, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2939, 6697, 9062, 14502, 20604, 0]",0.48090682330050993,1.46,1
81,"[3907, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2939, 6697, 9062, 12623, 20604, 0]",0.4773373041375227,1.48,1
87,"[3907, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2939, 3101, 9062, 12623, 20604, 0]",0.4906523108615313,1.42,1
92,"[3907, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2939, 3101, 9062, 12623, 20140, 0]",0.4872684221826255,1.44,1
103,"[3907, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2939, 3101, 9062, 12623, 20140, 0]",0.4872684221826255,1.44,0
120,"[3907, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2939, 3101, 8464, 12623, 20140, 0]",0.4744622610318163,1.49,1
126,"[3587, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2939, 3101, 8464, 12623, 20140, 0]",0.39182319354300577,1.87,1
129,"[3587, 4156, 4192, 4286, 4416, 4449, 4500]","[1666, 2939, 3254, 8464, 12623, 20140, 0]",0.3955409523422495,1.86,1
135,"[3587, 4079, 4192, 4286, 4416, 4449, 4500]","[1666, 2939, 3254, 8464, 12623, 20140, 0]",0.38391866354722254,1.91,1
145,"[3587, 4079, 4192, 4286, 4416, 4449, 4500]","[1666, 2109, 3254, 8464, 12623, 20140, 0]",0.36581945652520625,2.01,1
156,"[3587, 4079, 4192, 4286, 4416, 4449, 4500]","[1666, 2109, 3254, 8464, 10688, 20140, 0]",0.36752099012300066,2.0,1
158,"[3587, 4079, 4192, 4286, 4416, 4449, 4500]","[1666, 2109, 5376, 8464, 10688, 20140, 0]",0.4068259413126827,1.8,1
160,"[3587, 4079, 4192, 4286, 4416, 4449, 4500]","[1666, 2109, 5376, 8223, 10688, 20140, 0]",0.4035238172126357,1.82,1
162,"[3587, 4079, 4192, 4286, 4416, 4449, 4500]","[1666, 2109, 5376, 8223, 10688, 22250, 0]",0.41463809113849814,1.76,1
165,"[3587, 4079, 4192, 4286, 4416, 4449, 4500]","[1666, 2109, 3752, 8223, 10688, 22250, 0]",0.3769484568288856,1.95,1
167,"[3587, 4079, 4192, 4286, 4416, 4449, 4500]","[1666, 2109, 3752, 8223, 10688, 22250, 0]",0.3769484568288856,1.95,1
179,"[3587, 3729, 4192, 4286, 4416, 4449, 4500]","[1666, 2109, 3752, 8223, 10688, 22250, 0]",0.303389960539516,2.39,1
182,"[3587, 3729, 4192, 4286, 4416, 4449, 4486]","[1666, 2109, 3752, 8223, 10688, 22250, 0]",0.30477780736630894,2.38,1
185,"[3092, 3729, 4192, 4286, 4416, 4449, 4486]","[1666, 2109, 3752, 8223, 10688, 22250, 0]",0.1205097062528294,4.23,1
197,"[3092, 3729, 4192, 4286, 4416, 4449, 4486]","[1666, 2109, 3559, 8223, 10688, 22250, 0]",0.11944910150727171,4.25,1
