Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[2992, 3096, 3291, 3376, 3433, 3466, 3950]","[1599, 2841, 3418, 4186, 8053, 12444, 0]",0.333709393394716,2.19,1
10,"[2992, 3096, 3291, 3376, 3433, 3547, 3950]","[1599, 2841, 3418, 4186, 8053, 12444, 0]",0.2765400837444421,2.57,1
19,"[2992, 3096, 3291, 3402, 3433, 3547, 3950]","[1599, 2841, 3418, 4186, 8053, 12444, 0]",0.26949550832688773,2.62,1
36,"[2992, 3096, 3291, 3402, 3433, 3547, 3950]","[1599, 2841, 3418, 4186, 8053, 11816, 0]",0.24852447164331906,2.78,1
37,"[2992, 3096, 3291, 3402, 3433, 3547, 3950]","[1599, 1738, 3418, 4186, 8053, 11816, 0]",0.13332906524161492,4.03,1
50,"[2992, 3096, 3291, 3402, 3433, 3547, 3950]","[1599, 1738, 3418, 4186, 8993, 11816, 0]",0.1986182332952232,3.23,1
51,"[2992, 3096, 3291, 3402, 3433, 3547, 3950]","[1599, 1738, 3418, 5522, 8993, 11816, 0]",0.23622359521465555,2.89,1
56,"[2992, 3096, 3291, 3402, 3433, 3547, 3950]","[1599, 1738, 3418, 5522, 8993, 11816, 0]",0.23622359521465555,2.89,0
75,"[2992, 3096, 3291, 3402, 3433, 3547, 3950]","[1599, 1738, 3213, 5522, 8993, 11816, 0]",0.24743006816823127,2.79,1
80,"[2992, 3096, 3291, 3402, 3433, 3547, 3950]","[1599, 1738, 3213, 5522, 8993, 11816, 0]",0.24743006816823127,2.79,0
85,"[2992, 3096, 3291, 3402, 3433, 3547, 3950]","[1599, 1738, 3479, 5522, 8993, 11816, 0]",0.2312101343262732,2.93,1
105,"[2992, 3096, 3291, 3402, 3433, 3547, 3950]","[1599, 1738, 2972, 5522, 8993, 11816, 0]",0.2507172280416276,2.77,1
116,"[2672, 3096, 3291, 3402, 3433, 3547, 3950]","[1599, 1738, 2972, 5522, 8993, 11816, 0]",0.1905569635307669,3.32,1
119,"[2672, 3096, 3291, 3402, 3433, 3547, 3950]","[1599, 1738, 3126, 5522, 8993, 11816, 0]",0.18356088957306269,3.39,1
120,"[2672, 3096, 3291, 3402, 3433, 3547, 4500]","[1599, 1738, 3126, 5522, 8993, 11816, 0]",0.1163966300194573,4.3,1
121,"[2672, 3096, 3291, 3402, 3433, 3547, 4500]","[1599, 1738, 3126, 5522, 8993, 11816, 0]",0.1163966300194573,4.3,1
124,"[2672, 3096, 3291, 3402, 3433, 3547, 4500]","[1599, 1738, 3126, 5522, 8993, 11816, 0]",0.1163966300194573,4.3,0
127,"[2672, 3096, 3291, 3402, 3433, 3547, 4500]","[1599, 1738, 3126, 5522, 8993, 11816, 0]",0.1163966300194573,4.3,1
132,"[2672, 3096, 3291, 3402, 3433, 3547, 4500]","[1599, 1738, 3126, 5522, 8993, 11816, 0]",0.1163966300194573,4.3,0
139,"[2672, 3096, 3291, 3402, 3433, 3547, 4500]","[1599, 1738, 3126, 5542, 8993, 11816, 0]",0.11455189341862457,4.33,1
145,"[2766, 3096, 3291, 3402, 3433, 3547, 4500]","[1599, 1738, 3126, 5542, 8993, 11816, 0]",0.14724028792916113,3.83,1
146,"[2766, 3096, 3291, 3402, 3433, 3547, 4500]","[1599, 1738, 3126, 5542, 8993, 11816, 0]",0.14724028792916113,3.83,0
153,"[2766, 3096, 3291, 3402, 3433, 3547, 4500]","[1599, 1738, 3126, 5542, 8993, 11816, 0]",0.14724028792916113,3.83,0
154,"[2758, 3096, 3291, 3402, 3433, 3547, 4500]","[1599, 1738, 3126, 5542, 8993, 11816, 0]",0.1467159743927562,3.84,1
157,"[2758, 3096, 3291, 3402, 3433, 3547, 4500]","[1599, 1738, 3126, 5301, 8993, 11816, 0]",0.1737131581952062,3.5,1
163,"[2758, 3096, 3291, 3402, 3433, 3526, 4500]","[1599, 1738, 3126, 5301, 8993, 11816, 0]",0.15964813367043781,3.67,1
202,"[2758, 3096, 3291, 3402, 3433, 3526, 4500]","[1599, 1688, 3126, 5301, 8993, 11816, 0]",0.16411015363611967,3.61,1
203,"[2758, 3096, 3291, 3402, 3433, 3491, 4500]","[1599, 1688, 3126, 5301, 8993, 11816, 0]",0.13025152259138892,4.08,1
210,"[2758, 3096, 3291, 3402, 3433, 3491, 4264]","[1599, 1688, 3126, 5301, 8993, 11816, 0]",0.22179954640154687,3.01,1
212,"[2758, 3096, 3291, 3402, 3433, 3491, 4264]","[1599, 1688, 3126, 5301, 8993, 11816, 0]",0.22179954640154687,3.01,0
