Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[2705, 2921, 3308, 3649, 3748, 3831, 4500]","[1321, 2720, 4686, 6141, 6925, 10400, 0]",0.1210865757157711,4.22,1
10,"[2705, 2921, 3308, 3649, 3748, 3831, 4500]","[1321, 3679, 4686, 6141, 6925, 10400, 0]",0.020342925664993152,7.79,1
11,"[2705, 2921, 3308, 3649, 3748, 3831, 4500]","[1321, 3679, 3799, 6141, 6925, 10400, 0]",0.03142442061894232,6.92,1
17,"[2705, 2921, 3308, 3649, 3748, 3831, 4500]","[1321, 3679, 3799, 6141, 6925, 10400, 0]",0.03142442061894232,6.92,0
21,"[2705, 2921, 3308, 3649, 3748, 3831, 4500]","[1321, 3679, 3799, 6011, 6925, 10400, 0]",0.033101699957206035,6.82,1
26,"[2705, 2921, 3308, 3649, 3748, 3831, 4156]","[1321, 3679, 3799, 6011, 6925, 10400, 0]",0.027582068505241353,7.18,1
27,"[2705, 2921, 3308, 3649, 3748, 3831, 4156]","[1321, 3679, 3799, 6011, 6925, 10400, 0]",0.027582068505241353,7.18,0
30,"[2705, 2921, 3308, 3649, 3748, 3831, 4156]","[1321, 3679, 4809, 6011, 6925, 10400, 0]",0.021019009484374428,7.72,1
41,"[2705, 2921, 3308, 3649, 3748, 3831, 4156]","[1321, 3679, 4809, 5266, 6925, 10400, 0]",0.02501090115337089,7.38,1
55,"[2705, 2921, 3308, 3649, 3748, 3831, 4500]","[1321, 3679, 4809, 5266, 6925, 10400, 0]",0.03106087263012056,6.94,1
76,"[2705, 2921, 3308, 3649, 3748, 3831, 4500]","[1321, 3679, 4810, 5266, 6925, 10400, 0]",0.030944331357889585,6.95,1
80,"[2705, 2921, 3308, 3649, 3748, 3831, 4500]","[1321, 3679, 4810, 5266, 6925, 11017, 0]",0.022725660115430726,7.57,1
88,"[2705, 2921, 3308, 3649, 3748, 3831, 4500]","[1321, 3968, 4810, 5266, 6925, 11017, 0]",0.01589650089917464,8.28,1
90,"[2705, 2921, 3308, 3649, 3748, 3831, 4500]","[1321, 3968, 4810, 5266, 6925, 10930, 0]",0.016576581716872475,8.2,1
99,"[2705, 2921, 3308, 3649, 3748, 3831, 4500]","[1321, 4407, 4810, 5266, 6925, 10930, 0]",0.015604067943098628,8.32,1
109,"[2705, 2999, 3308, 3649, 3748, 3831, 4500]","[1321, 4407, 4810, 5266, 6925, 10930, 0]",0.02202582453473187,7.63,1
111,"[2705, 2999, 3308, 3649, 3748, 3831, 4500]","[1321, 4407, 4810, 5266, 6925, 10466, 0]",0.024625885884607568,7.41,1
116,"[2705, 2999, 3308, 3649, 3748, 3831, 4500]","[1321, 4407, 4810, 5266, 6925, 9661, 0]",0.03264037824040742,6.84,1
117,"[2705, 2999, 3308, 3649, 3748, 3831, 4500]","[1321, 4407, 4810, 5266, 5474, 9661, 0]",0.02726748708929778,7.2,1
129,"[2705, 2999, 3308, 3649, 3748, 3831, 4500]","[3351, 4407, 4810, 5266, 5474, 9661, 0]",0.01957497361426891,7.87,1
131,"[2705, 2999, 3459, 3649, 3748, 3831, 4500]","[3351, 4407, 4810, 5266, 5474, 9661, 0]",0.01915073929113102,7.91,1
138,"[2705, 2999, 3459, 3649, 3748, 3831, 4500]","[3351, 4407, 4810, 5266, 7770, 9661, 0]",0.013701001033542399,8.58,1
139,"[2596, 2999, 3459, 3649, 3748, 3831, 4500]","[3351, 4407, 4810, 5266, 7770, 9661, 0]",0.013069307801385882,8.67,1
147,"[2596, 2999, 3459, 3649, 3748, 3831, 4500]","[3351, 4407, 4810, 4965, 7770, 9661, 0]",0.013805577376196213,8.57,1
157,"[2596, 2999, 3459, 3649, 3748, 3831, 4500]","[3351, 4407, 4810, 4965, 7770, 9661, 0]",0.013805577376196213,8.57,0
164,"[2596, 2999, 3459, 3649, 3748, 3831, 4500]","[1963, 4407, 4810, 4965, 7770, 9661, 0]",0.016629145998998913,8.19,1
171,"[2596, 2999, 3459, 3649, 3748, 3831, 4500]","[1963, 3577, 4810, 4965, 7770, 9661, 0]",0.01525491499011257,8.37,1
173,"[2596, 2999, 3126, 3649, 3748, 3831, 4500]","[1963, 3577, 4810, 4965, 7770, 9661, 0]",0.01991368912792758,7.83,1
182,"[2596, 2999, 3126, 3649, 3748, 3831, 4500]","[1963, 3577, 4810, 4965, 5835, 9661, 0]",0.028828408780384316,7.09,1
192,"[2596, 2999, 3126, 3649, 3748, 3810, 4500]","[1963, 3577, 4810, 4965, 5835, 9661, 0]",0.029288220306451337,7.06,1
194,"[2596, 2999, 3126, 3649, 3748, 3810, 4500]","[1963, 3577, 4810, 4965, 5835, 9661, 0]",0.029288220306451337,7.06,0
199,"[2596, 2999, 3126, 3649, 3748, 3810, 4500]","[1963, 3577, 4810, 4965, 8696, 9661, 0]",0.016477674962759332,8.21,1
200,"[2596, 2999, 3209, 3649, 3748, 3810, 4500]","[1963, 3577, 4810, 4965, 8696, 9661, 0]",0.015809075643924697,8.29,1
202,"[2596, 2999, 3209, 3564, 3748, 3810, 4500]","[1963, 3577, 4810, 4965, 8696, 9661, 0]",0.020362533807903364,7.79,1
204,"[2596, 2999, 3209, 3564, 3748, 3810, 4500]","[1963, 3577, 4810, 4965, 8696, 9661, 0]",0.020362533807903364,7.79,0
208,"[2596, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 3577, 4810, 4965, 8696, 9661, 0]",0.02334787157141741,7.51,1
212,"[2596, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 8696, 9661, 0]",0.034354158667737715,6.74,1
217,"[2596, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 8779, 9661, 0]",0.033782981281896336,6.78,1
218,"[2596, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 8779, 9661, 0]",0.033782981281896336,6.78,0
221,"[2400, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 8779, 9661, 0]",0.02300616785867826,7.54,1
235,"[2400, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 6739, 9661, 0]",0.025443692813744607,7.34,1
237,"[2400, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 6739, 7106, 0]",0.036552436374752015,6.62,1
244,"[2400, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 6739, 7106, 0]",0.036552436374752015,6.62,1
252,"[2400, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 6739, 7106, 0]",0.036552436374752015,6.62,0
253,"[2400, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 6739, 7106, 0]",0.036552436374752015,6.62,0
259,"[2470, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 6739, 7106, 0]",0.04120872665353952,6.38,1
263,"[2470, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 6739, 9431, 0]",0.030446341670409095,6.98,1
264,"[2470, 2999, 3209, 3564, 3748, 3810, 3899]","[1963, 4766, 4810, 4965, 6739, 9431, 0]",0.02646280016712671,7.26,1
268,"[2607, 2999, 3209, 3564, 3748, 3810, 3899]","[1963, 4766, 4810, 4965, 6739, 9431, 0]",0.028526476847211508,7.11,1
