Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[3041, 3584, 3631, 3986, 4153, 4215, 4436]","[1127, 1961, 2784, 8113, 9120, 11101, 0]",0.3128780946439659,2.32,1
2,"[3041, 3584, 3631, 3986, 4153, 4215, 4436]","[1127, 1961, 2731, 8113, 9120, 11101, 0]",0.3121166827570961,2.33,1
4,"[3041, 3584, 3631, 3986, 4153, 4215, 4436]","[1127, 1961, 2731, 8113, 10430, 11101, 0]",0.3163041404716624,2.3,1
9,"[3172, 3584, 3631, 3986, 4153, 4215, 4436]","[1127, 1961, 2731, 8113, 10430, 11101, 0]",0.3383847732983103,2.17,1
10,"[3172, 3584, 3631, 3986, 4153, 4215, 4436]","[1901, 1961, 2731, 8113, 10430, 11101, 0]",0.2406779781575838,2.85,1
34,"[3172, 3584, 3631, 3986, 4153, 4215, 4436]","[1901, 1961, 2731, 7461, 10430, 11101, 0]",0.23558500345477715,2.89,1
44,"[3172, 3584, 3631, 3986, 4153, 4215, 4436]","[1901, 1961, 2731, 7461, 10430, 11925, 0]",0.24239474784750428,2.83,1
46,"[3172, 3584, 3631, 3986, 4153, 4215, 4436]","[1901, 1961, 2731, 7461, 10170, 11925, 0]",0.24053939151810824,2.85,1
48,"[3172, 3584, 3631, 3986, 4153, 4215, 4436]","[1901, 1961, 7200, 7461, 10170, 11925, 0]",0.5089740517166327,1.35,1
49,"[3172, 3584, 3631, 3986, 4153, 4215, 4436]","[1901, 1961, 7036, 7461, 10170, 11925, 0]",0.543741735824965,1.22,1
51,"[3493, 3584, 3631, 3986, 4153, 4215, 4436]","[1901, 1961, 7036, 7461, 10170, 11925, 0]",0.594315617490954,1.04,1
53,"[3493, 3584, 3631, 3996, 4153, 4215, 4436]","[1901, 1961, 7036, 7461, 10170, 11925, 0]",0.5942089969360497,1.04,1
56,"[3493, 3584, 3631, 3996, 4153, 4215, 4436]","[1901, 1961, 7036, 7461, 9587, 11925, 0]",0.6234935804347872,0.94,1
65,"[3493, 3584, 3631, 3996, 4153, 4215, 4436]","[1901, 1961, 7036, 7776, 9587, 11925, 0]",0.6047501914445356,1.01,1
68,"[3493, 3584, 3631, 3996, 4153, 4215, 4436]","[1901, 1961, 7036, 7776, 9587, 11297, 0]",0.6313792118631658,0.92,1
82,"[3493, 3584, 3631, 3996, 4153, 4215, 4436]","[1901, 1961, 7036, 7776, 9587, 11914, 0]",0.6055759416107511,1.0,1
90,"[3493, 3584, 3631, 3996, 4153, 4215, 4436]","[1901, 2250, 7036, 7776, 9587, 11914, 0]",0.5483359122963182,1.2,1
92,"[3493, 3584, 3631, 3996, 4153, 4215, 4436]","[1901, 2250, 7036, 7776, 9587, 11827, 0]",0.5515868058095338,1.19,1
101,"[3493, 3584, 3631, 3996, 4153, 4215, 4436]","[1901, 2689, 7036, 7776, 9587, 11827, 0]",0.45457122167279645,1.58,1
108,"[3493, 3584, 3631, 3996, 4153, 4215, 4436]","[1901, 2689, 7036, 7776, 9587, 11827, 0]",0.45457122167279645,1.58,0
111,"[3334, 3584, 3631, 3996, 4153, 4215, 4436]","[1901, 2689, 7036, 7776, 9587, 11827, 0]",0.4438431243617958,1.62,1
112,"[3334, 3584, 3631, 3996, 4153, 4215, 4500]","[1901, 2689, 7036, 7776, 9587, 11827, 0]",0.4435926382732491,1.63,1
114,"[3334, 3584, 3631, 3996, 4153, 4215, 4500]","[1901, 3567, 7036, 7776, 9587, 11827, 0]",0.3234824007422632,2.26,1
124,"[3334, 3584, 3631, 3996, 4153, 4215, 4500]","[1901, 3567, 7036, 7776, 9587, 11827, 0]",0.3234824007422632,2.26,1
132,"[3334, 3584, 3631, 3996, 4153, 4215, 4500]","[1901, 1932, 7036, 7776, 9587, 11827, 0]",0.6217914389616823,0.95,1
142,"[3334, 3584, 3631, 3996, 4153, 4215, 4275]","[1901, 1932, 7036, 7776, 9587, 11827, 0]",0.5575391543339847,1.17,1
144,"[3334, 3584, 3631, 3996, 4153, 4215, 4275]","[1901, 1932, 7036, 7776, 9587, 11827, 0]",0.5575391543339847,1.17,0
145,"[3334, 3584, 3631, 3972, 4153, 4215, 4275]","[1901, 1932, 7036, 7776, 9587, 11827, 0]",0.5561620338807253,1.17,1
149,"[3334, 3584, 3631, 4007, 4153, 4215, 4275]","[1901, 1932, 7036, 7776, 9587, 11827, 0]",0.5563754511159438,1.17,1
150,"[3334, 3584, 3631, 4007, 4153, 4215, 4275]","[1901, 1932, 7036, 7776, 10718, 11827, 0]",0.534589036471144,1.25,1
160,"[3334, 3584, 3631, 4007, 4153, 4215, 4275]","[1901, 1932, 7036, 7776, 10718, 11827, 0]",0.534589036471144,1.25,0
165,"[3334, 3584, 3631, 4007, 4153, 4215, 4275]","[1901, 1932, 7036, 7776, 11654, 11827, 0]",0.5266678338597666,1.28,1
169,"[3334, 3584, 3631, 4007, 4153, 4215, 4500]","[1901, 1932, 7036, 7776, 11654, 11827, 0]",0.5134965524166645,1.33,1
170,"[3334, 3584, 3631, 4007, 4153, 4215, 4500]","[1901, 1932, 7036, 7425, 11654, 11827, 0]",0.5187234541085994,1.31,1
175,"[3334, 3584, 3631, 4007, 4153, 4215, 4500]","[1901, 1932, 4958, 7425, 11654, 11827, 0]",0.4636374478067651,1.54,1
186,"[3334, 3584, 3631, 4007, 4153, 4215, 4500]","[1901, 1932, 4958, 6042, 11654, 11827, 0]",0.379358581635527,1.94,1
188,"[3334, 3584, 3631, 4007, 4153, 4215, 4500]","[1901, 1932, 4958, 7873, 11654, 11827, 0]",0.4705724633962044,1.51,1
190,"[3334, 3584, 3631, 4007, 4153, 4215, 4500]","[1901, 2587, 4958, 7873, 11654, 11827, 0]",0.5680594932136959,1.13,1
197,"[3334, 3584, 3817, 4007, 4153, 4215, 4500]","[1901, 2587, 4958, 7873, 11654, 11827, 0]",0.5380027430570379,1.24,1
214,"[3334, 3584, 3817, 3905, 4153, 4215, 4500]","[1901, 2587, 4958, 7873, 11654, 11827, 0]",0.5040141536570675,1.37,1
215,"[3334, 3388, 3817, 3905, 4153, 4215, 4500]","[1901, 2587, 4958, 7873, 11654, 11827, 0]",0.4543253581206529,1.58,1
219,"[3334, 3388, 3817, 3905, 4153, 4215, 4500]","[1901, 2587, 4958, 11069, 11654, 11827, 0]",0.4217795437493408,1.73,1
231,"[3334, 3388, 3817, 3905, 4153, 4215, 4500]","[1901, 2587, 4958, 11069, 11654, 11952, 0]",0.4177850913733183,1.75,1
236,"[3334, 3388, 3817, 3905, 4153, 4215, 4500]","[1901, 2471, 4958, 11069, 11654, 11952, 0]",0.43042001176671973,1.69,1
240,"[3334, 3388, 3817, 3905, 4153, 4215, 4500]","[1901, 2471, 4958, 11069, 11654, 11952, 0]",0.43042001176671973,1.69,1
249,"[3334, 3388, 3723, 3905, 4153, 4215, 4500]","[1901, 2471, 4958, 11069, 11654, 11952, 0]",0.46747156670617207,1.52,1
255,"[3334, 3388, 3568, 3905, 4153, 4215, 4500]","[1901, 2471, 4958, 11069, 11654, 11952, 0]",0.5005974802518495,1.38,1
256,"[3334, 3388, 3568, 3905, 4153, 4215, 4500]","[1901, 2471, 4958, 11069, 11654, 11952, 0]",0.5005974802518495,1.38,1
262,"[3334, 3388, 3568, 3821, 4153, 4215, 4500]","[1901, 2471, 4958, 11069, 11654, 11952, 0]",0.43601068850696895,1.66,1
273,"[3334, 3388, 3568, 3821, 4153, 4215, 4500]","[1901, 2471, 4958, 11069, 11654, 12198, 0]",0.4280959222246445,1.7,1
275,"[3334, 3388, 3568, 3821, 4153, 4215, 4340]","[1901, 2471, 4958, 11069, 11654, 12198, 0]",0.435453199855469,1.66,1
277,"[3334, 3388, 3568, 3821, 4153, 4215, 4500]","[1901, 2471, 4958, 11069, 11654, 12198, 0]",0.4280959222246445,1.7,1
280,"[3334, 3388, 3568, 3821, 4153, 4215, 4500]","[1901, 2471, 4958, 11069, 11654, 12045, 0]",0.43303111801273875,1.67,1
283,"[3206, 3388, 3568, 3821, 4153, 4215, 4500]","[1901, 2471, 4958, 11069, 11654, 12045, 0]",0.412705874221712,1.77,1
285,"[3206, 3388, 3568, 3821, 4153, 4215, 4500]","[1901, 2471, 4958, 6967, 11654, 12045, 0]",0.4868872643132666,1.44,1
291,"[3206, 3388, 3568, 3786, 4153, 4215, 4500]","[1901, 2471, 4958, 6967, 11654, 12045, 0]",0.4618925519876164,1.54,1
293,"[3206, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 4958, 6967, 11654, 12045, 0]",0.42034059865014334,1.73,1
299,"[3206, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 4958, 6967, 11654, 12045, 0]",0.42034059865014334,1.73,0
306,"[3206, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 4958, 6967, 11654, 12045, 0]",0.42034059865014334,1.73,0
324,"[3206, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 4958, 6967, 11924, 12045, 0]",0.40852415841460693,1.79,1
325,"[3206, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 4958, 8123, 11924, 12045, 0]",0.39925739910583796,1.84,1
326,"[3254, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 4958, 8123, 11924, 12045, 0]",0.4102630525208742,1.78,1
334,"[2930, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 4958, 8123, 11924, 12045, 0]",0.2999653373192163,2.41,1
343,"[2930, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 4958, 8123, 9268, 12045, 0]",0.372631864910231,1.97,1
349,"[2930, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 5176, 8123, 9268, 12045, 0]",0.3704756470589329,1.99,1
362,"[2930, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 5176, 8123, 9268, 11738, 0]",0.3694181952946636,1.99,1
372,"[2930, 3388, 3666, 3786, 4153, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11738, 0]",0.32577983275410755,2.24,1
374,"[2930, 3388, 3666, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11738, 0]",0.35037433738671925,2.1,1
377,"[2930, 3388, 3666, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11738, 0]",0.35037433738671925,2.1,1
378,"[2930, 3388, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11738, 0]",0.36094186719180676,2.04,1
392,"[2930, 3306, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11738, 0]",0.33328463273159553,2.2,1
399,"[2930, 3306, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11405, 0]",0.3471772485124088,2.12,1
403,"[2930, 3306, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 10898, 0]",0.37512153315752167,1.96,1
407,"[2930, 3306, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 10898, 0]",0.37512153315752167,1.96,1
410,"[2930, 3306, 3637, 3786, 4041, 4215, 4500]","[1901, 2471, 6200, 8123, 9268, 11444, 0]",0.3504422232474469,2.1,1
