Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[3303, 3529, 3601, 3841, 3975, 4044, 4500]","[1877, 3234, 3423, 4679, 9046, 11748, 0]",0.683132399976401,0.76,1
3,"[3303, 3529, 3601, 3841, 3975, 4044, 4407]","[1877, 3234, 3423, 4679, 9046, 11748, 0]",0.675435328354835,0.78,1
5,"[2984, 3529, 3601, 3841, 3975, 4044, 4407]","[1877, 3234, 3423, 4679, 9046, 11748, 0]",0.652303275951997,0.85,1
17,"[2984, 3529, 3601, 3841, 3975, 4044, 4407]","[1877, 3234, 3423, 3934, 9046, 11748, 0]",0.6457570223880529,0.87,1
20,"[2984, 3529, 3601, 3841, 3975, 4044, 4500]","[1877, 3234, 3423, 3934, 9046, 11748, 0]",0.6471136934374233,0.87,1
46,"[2984, 3529, 3601, 3841, 3975, 4044, 4500]","[1877, 3234, 3423, 3934, 9046, 11120, 0]",0.6345398996392672,0.91,1
47,"[2984, 3529, 3601, 3841, 3975, 4044, 4500]","[1877, 2131, 3423, 3934, 9046, 11120, 0]",0.5490308930597791,1.2,1
60,"[2984, 3529, 3601, 3841, 3975, 4044, 4500]","[1877, 2131, 3423, 3934, 9986, 11120, 0]",0.5890245533313923,1.06,1
61,"[2984, 3529, 3601, 3841, 3975, 4044, 4500]","[1877, 2131, 3423, 5270, 9986, 11120, 0]",0.6217392876192258,0.95,1
70,"[3248, 3529, 3601, 3841, 3975, 4044, 4500]","[1877, 2131, 3423, 5270, 9986, 11120, 0]",0.6396323940175064,0.89,1
73,"[3267, 3529, 3601, 3841, 3975, 4044, 4500]","[1877, 2131, 3423, 5270, 9986, 11120, 0]",0.6403991405613785,0.89,1
93,"[3267, 3367, 3601, 3841, 3975, 4044, 4500]","[1877, 2131, 3423, 5270, 9986, 11120, 0]",0.6370563527344105,0.9,1
95,"[3267, 3367, 3697, 3841, 3975, 4044, 4500]","[1877, 2131, 3423, 5270, 9986, 11120, 0]",0.6364921931497006,0.9,1
103,"[3267, 3367, 3697, 3841, 3975, 4044, 4500]","[1877, 2131, 3423, 5270, 9986, 11120, 0]",0.6364921931497006,0.9,0
120,"[3267, 3367, 3697, 3841, 3975, 4044, 4500]","[1877, 2131, 3423, 4672, 9986, 11120, 0]",0.6245616451437309,0.94,1
126,"[2947, 3367, 3697, 3841, 3975, 4044, 4500]","[1877, 2131, 3423, 4672, 9986, 11120, 0]",0.6112858925161443,0.98,1
129,"[2947, 3367, 3697, 3841, 3975, 4044, 4500]","[1877, 2131, 3577, 4672, 9986, 11120, 0]",0.6155724593655009,0.97,1
135,"[2947, 3291, 3697, 3841, 3975, 4044, 4500]","[1877, 2131, 3577, 4672, 9986, 11120, 0]",0.6160127622797168,0.97,1
149,"[2947, 3291, 3697, 3841, 3975, 4044, 4500]","[1877, 2131, 3577, 4672, 9986, 11120, 0]",0.6160127622797168,0.97,1
150,"[2947, 3291, 3697, 3841, 3975, 4044, 4500]","[1877, 2131, 3577, 4320, 9986, 11120, 0]",0.6097375448142215,0.99,1
151,"[3146, 3291, 3697, 3841, 3975, 4044, 4500]","[1877, 2131, 3577, 4320, 9986, 11120, 0]",0.620113841765271,0.96,1
