Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[2982, 3134, 3300, 3632, 3783, 4072, 4407]","[2704, 2982, 3178, 3324, 5194, 16654, 0]",0.5011502232294526,1.38,1
3,"[2662, 3134, 3300, 3632, 3783, 4072, 4407]","[2704, 2982, 3178, 3324, 5194, 16654, 0]",0.37097727592339147,1.98,1
11,"[2662, 3134, 3300, 3632, 3999, 4072, 4407]","[2704, 2982, 3178, 3324, 5194, 16654, 0]",0.2880169107598306,2.49,1
16,"[2662, 3134, 3300, 3632, 3999, 4072, 4407]","[2704, 2982, 3178, 3931, 5194, 16654, 0]",0.27786705305151665,2.56,1
20,"[2400, 3134, 3300, 3632, 3999, 4072, 4407]","[2704, 2982, 3178, 3931, 5194, 16654, 0]",0.1025813916560353,4.55,1
27,"[2400, 3134, 3300, 3552, 3999, 4072, 4407]","[2704, 2982, 3178, 3931, 5194, 16654, 0]",0.09839107781203929,4.64,1
34,"[2400, 3134, 3300, 3552, 3696, 4072, 4407]","[2704, 2982, 3178, 3931, 5194, 16654, 0]",0.17709593926990475,3.46,1
35,"[2400, 3134, 3300, 3385, 3696, 4072, 4407]","[2704, 2982, 3178, 3931, 5194, 16654, 0]",0.1615488290510438,3.65,1
37,"[2400, 3134, 3300, 3385, 3696, 4072, 4407]","[2704, 2982, 3178, 3931, 5194, 16654, 0]",0.1615488290510438,3.65,1
54,"[2400, 3134, 3300, 3385, 3601, 4072, 4407]","[2704, 2982, 3178, 3931, 5194, 16654, 0]",0.17095496323061468,3.53,1
70,"[2664, 3134, 3300, 3385, 3601, 4072, 4407]","[2704, 2982, 3178, 3931, 5194, 16654, 0]",0.3075677408058664,2.36,1
73,"[2683, 3134, 3300, 3385, 3601, 4072, 4407]","[2704, 2982, 3178, 3931, 5194, 16654, 0]",0.31193265161668954,2.33,1
74,"[2683, 3134, 3300, 3385, 3601, 4072, 4407]","[1098, 2982, 3178, 3931, 5194, 16654, 0]",0.29367554997191997,2.45,1
78,"[2683, 3134, 3300, 3385, 3601, 4169, 4407]","[1098, 2982, 3178, 3931, 5194, 16654, 0]",0.23254658672736073,2.92,1
90,"[3074, 3134, 3300, 3385, 3601, 4169, 4407]","[1098, 2982, 3178, 3931, 5194, 16654, 0]",0.24782702303915363,2.79,1
95,"[3074, 3134, 3300, 3385, 3601, 4169, 4407]","[1098, 2982, 3178, 4595, 5194, 16654, 0]",0.2955240546954332,2.44,1
104,"[3074, 3134, 3300, 3385, 3601, 4169, 4427]","[1098, 2982, 3178, 4595, 5194, 16654, 0]",0.29911449055127487,2.41,1
107,"[3074, 3134, 3300, 3385, 3601, 4169, 4427]","[1098, 2982, 3178, 3391, 5194, 16654, 0]",0.2174353164089772,3.05,1
116,"[3074, 3134, 3300, 3385, 3601, 4169, 4427]","[1098, 2982, 3178, 3391, 5984, 16654, 0]",0.2734184244035679,2.59,1
117,"[3074, 3134, 3300, 3385, 3601, 4169, 4427]","[1098, 2982, 3178, 3391, 9559, 16654, 0]",0.22700715639161956,2.97,1
118,"[3074, 3134, 3300, 3385, 3628, 4169, 4427]","[1098, 2982, 3178, 3391, 9559, 16654, 0]",0.23784395933586588,2.87,1
125,"[3074, 3134, 3300, 3385, 3628, 4169, 4427]","[1098, 2982, 3178, 3391, 9559, 18410, 0]",0.21420078912470028,3.08,1
137,"[3074, 3134, 3300, 3385, 3628, 4169, 4427]","[1098, 1965, 3178, 3391, 9559, 18410, 0]",0.2866011419315316,2.5,1
140,"[3074, 3134, 3300, 3385, 3628, 4169, 4427]","[1098, 1965, 3178, 4735, 9559, 18410, 0]",0.17436246853690618,3.49,1
142,"[3074, 3134, 3300, 3385, 3628, 4312, 4427]","[1098, 1965, 3178, 4735, 9559, 18410, 0]",0.1424068416496955,3.9,1
149,"[3074, 3134, 3300, 3385, 3628, 4312, 4427]","[1098, 1965, 4223, 4735, 9559, 18410, 0]",0.12658794210235005,4.13,1
151,"[3074, 3134, 3300, 3491, 3628, 4312, 4427]","[1098, 1965, 4223, 4735, 9559, 18410, 0]",0.12207889010446313,4.21,1
188,"[3074, 3134, 3300, 3491, 3628, 4312, 4427]","[1098, 1965, 4223, 4735, 9559, 15767, 0]",0.12412223455520213,4.17,1
194,"[2793, 3134, 3300, 3491, 3628, 4312, 4427]","[1098, 1965, 4223, 4735, 9559, 15767, 0]",0.11689392431367866,4.29,1
