Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[3577, 3761, 3799, 3987, 4066, 4115, 4500]","[1852, 2325, 5649, 6142, 6178, 10322, 0]",0.293836789561914,2.45,1
5,"[3577, 3761, 3799, 3987, 4066, 4115, 4500]","[1852, 2325, 5649, 6142, 6178, 10322, 0]",0.293836789561914,2.45,0
10,"[3577, 3761, 3799, 3987, 4066, 4115, 4500]","[1852, 3284, 5649, 6142, 6178, 10322, 0]",0.3695449285242942,1.99,1
16,"[3577, 3761, 3799, 3987, 4066, 4115, 4500]","[1852, 1880, 5649, 6142, 6178, 10322, 0]",0.2758938913482442,2.58,1
20,"[3577, 3761, 3799, 3987, 4066, 4115, 4500]","[1852, 1880, 5649, 6142, 6178, 10322, 0]",0.2758938913482442,2.58,1
22,"[3577, 3761, 3799, 3987, 4066, 4115, 4500]","[1852, 1880, 5649, 6142, 6178, 10322, 0]",0.2758938913482442,2.58,1
26,"[3577, 3761, 3799, 3987, 4066, 4115, 4500]","[1852, 1880, 3188, 6142, 6178, 10322, 0]",0.2439093674370553,2.82,1
34,"[3577, 3761, 3799, 3987, 4066, 4115, 4500]","[1852, 1880, 3188, 6142, 6178, 14792, 0]",0.3096872451806738,2.34,1
36,"[3577, 3761, 3799, 3987, 4066, 4115, 4500]","[1852, 1880, 3188, 4108, 6178, 14792, 0]",0.2696631792277027,2.62,1
44,"[3577, 3761, 3799, 3907, 4066, 4115, 4500]","[1852, 1880, 3188, 4108, 6178, 14792, 0]",0.28685300096581473,2.5,1
46,"[3577, 3761, 3799, 3907, 4066, 4115, 4500]","[1852, 1880, 3188, 4108, 6178, 14792, 0]",0.28685300096581473,2.5,1
58,"[3577, 3761, 3799, 3907, 4066, 4115, 4500]","[1852, 1880, 2605, 4108, 6178, 14792, 0]",0.288112799251451,2.49,1
63,"[3577, 3761, 3799, 3907, 4066, 4115, 4500]","[1852, 1880, 2605, 4108, 6178, 14078, 0]",0.2808019543469043,2.54,1
67,"[3577, 3761, 3799, 3907, 4066, 4123, 4500]","[1852, 1880, 2605, 4108, 6178, 14078, 0]",0.2832582415665676,2.52,1
