Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[3424, 3615, 3650, 4115, 4193, 4233, 4407]","[1786, 3217, 6329, 6864, 11290, 11624, 0]",0.4972176077641944,1.4,1
3,"[3104, 3615, 3650, 4115, 4193, 4233, 4407]","[1786, 3217, 6329, 6864, 11290, 11624, 0]",0.42525286177801835,1.71,1
29,"[3104, 3615, 3650, 4115, 4193, 4233, 4500]","[1786, 3217, 6329, 6864, 11290, 11624, 0]",0.44840058133817984,1.6,1
44,"[3104, 3615, 3650, 4115, 4193, 4233, 4500]","[1786, 3217, 4398, 6864, 11290, 11624, 0]",0.21694835750245173,3.06,1
48,"[3104, 3615, 3650, 4115, 4193, 4233, 4500]","[1078, 3217, 4398, 6864, 11290, 11624, 0]",0.16460383022315317,3.61,1
56,"[3104, 3615, 3650, 4115, 4193, 4233, 4500]","[1078, 3217, 4398, 6864, 11290, 12241, 0]",0.17583329952293184,3.48,1
62,"[2936, 3615, 3650, 4115, 4193, 4233, 4500]","[1078, 3217, 4398, 6864, 11290, 12241, 0]",0.17592651136788023,3.48,1
65,"[2936, 3615, 3650, 4115, 4193, 4444, 4500]","[1078, 3217, 4398, 6864, 11290, 12241, 0]",0.08521878548505647,4.93,1
69,"[2936, 3615, 3650, 4115, 4193, 4444, 4500]","[1078, 3217, 4398, 6864, 11290, 12154, 0]",0.0842441298734002,4.95,1
77,"[2901, 3615, 3650, 4115, 4193, 4444, 4500]","[1078, 3217, 4398, 6864, 11290, 12154, 0]",0.08437572951080283,4.94,1
78,"[2901, 3615, 3650, 4047, 4193, 4444, 4500]","[1078, 3217, 4398, 6864, 11290, 12154, 0]",0.09759745494389045,4.65,1
83,"[2901, 3615, 3650, 3921, 4193, 4444, 4500]","[1078, 3217, 4398, 6864, 11290, 12154, 0]",0.12685805752012402,4.13,1
84,"[2872, 3615, 3650, 3921, 4193, 4444, 4500]","[1078, 3217, 4398, 6864, 11290, 12154, 0]",0.12493074064705822,4.16,1
88,"[2872, 3615, 3650, 3921, 4193, 4444, 4500]","[1078, 3217, 6706, 6864, 11290, 12154, 0]",0.22762957626613378,2.96,1
93,"[2872, 3615, 3650, 3921, 4193, 4310, 4500]","[1078, 3217, 6706, 6864, 11290, 12154, 0]",0.36185341588238734,2.03,1
94,"[2872, 3615, 3650, 3921, 4193, 4310, 4500]","[1078, 3217, 6706, 6864, 9839, 12154, 0]",0.35972409672312644,2.04,1
95,"[2872, 3615, 3650, 4011, 4193, 4310, 4500]","[1078, 3217, 6706, 6864, 9839, 12154, 0]",0.3909657519384771,1.88,1
106,"[2872, 3615, 3650, 4011, 4193, 4310, 4500]","[1078, 3217, 6706, 6864, 9839, 12154, 0]",0.3909657519384771,1.88,0
107,"[2872, 3615, 3650, 4011, 4193, 4310, 4500]","[1078, 3217, 6706, 6864, 9839, 12154, 0]",0.3909657519384771,1.88,0
112,"[2872, 3615, 3650, 4011, 4193, 4310, 4500]","[1078, 3217, 6706, 6864, 9839, 12154, 0]",0.3909657519384771,1.88,1
113,"[2872, 3615, 3650, 4011, 4193, 4310, 4500]","[1078, 3217, 6706, 6864, 7683, 12154, 0]",0.41116317413974646,1.78,1
115,"[2872, 3615, 3650, 4011, 4193, 4310, 4500]","[1078, 3217, 6706, 6864, 7683, 15287, 0]",0.42576359332250857,1.71,1
116,"[2872, 3615, 3650, 4011, 4193, 4310, 4500]","[1078, 3217, 6706, 6864, 7683, 15287, 0]",0.42576359332250857,1.71,0
117,"[2872, 3615, 3650, 4011, 4193, 4310, 4500]","[1078, 3217, 6706, 6864, 9172, 15287, 0]",0.40328134862446324,1.82,1
118,"[2872, 3615, 3650, 4011, 4220, 4310, 4500]","[1078, 3217, 6706, 6864, 9172, 15287, 0]",0.415923232412855,1.75,1
125,"[2872, 3615, 3650, 4011, 4220, 4310, 4500]","[1078, 3217, 6706, 6864, 9172, 17043, 0]",0.3919104999522114,1.87,1
135,"[2872, 3397, 3650, 4011, 4220, 4310, 4500]","[1078, 3217, 6706, 6864, 9172, 17043, 0]",0.3500666304590175,2.1,1
147,"[2872, 3397, 3650, 4011, 4220, 4310, 4500]","[1078, 3217, 6706, 6864, 8756, 17043, 0]",0.36728470971068555,2.0,1
149,"[2872, 3397, 3650, 4011, 4220, 4310, 4500]","[1078, 3314, 6706, 6864, 8756, 17043, 0]",0.3562808260673908,2.06,1
150,"[2872, 3397, 3650, 4011, 4220, 4310, 4500]","[1078, 3314, 3768, 6864, 8756, 17043, 0]",0.17404595151274954,3.5,1
152,"[2872, 3397, 3650, 4117, 4220, 4310, 4500]","[1078, 3314, 3768, 6864, 8756, 17043, 0]",0.14010773242356223,3.93,1
154,"[2872, 3397, 3650, 4117, 4220, 4310, 4500]","[1078, 3314, 3768, 6864, 8832, 17043, 0]",0.13977768845326416,3.94,1
158,"[2872, 3397, 3650, 4117, 4220, 4310, 4500]","[1078, 3314, 3768, 4721, 8832, 17043, 0]",0.14242078423916457,3.9,1
162,"[2872, 3397, 3650, 4117, 4220, 4310, 4500]","[1078, 3314, 3768, 4721, 8832, 18513, 0]",0.1515549627985447,3.77,1
167,"[2872, 3397, 3650, 4117, 4220, 4310, 4500]","[1078, 3314, 3768, 4721, 10087, 18513, 0]",0.15129375951295396,3.78,1
182,"[2872, 3397, 3650, 3937, 4220, 4310, 4500]","[1078, 3314, 3768, 4721, 10087, 18513, 0]",0.21934340847750028,3.03,1
183,"[2872, 3047, 3650, 3937, 4220, 4310, 4500]","[1078, 3314, 3768, 4721, 10087, 18513, 0]",0.15120558363268807,3.78,1
186,"[2872, 3047, 3650, 3937, 4220, 4310, 4486]","[1078, 3314, 3768, 4721, 10087, 18513, 0]",0.1484684334729535,3.81,1
188,"[2872, 3047, 3650, 3937, 4220, 4310, 4486]","[1078, 2971, 3768, 4721, 10087, 18513, 0]",0.1403339674511716,3.93,1
189,"[2872, 3047, 3650, 3937, 4220, 4310, 4486]","[1078, 2971, 3768, 6018, 10087, 18513, 0]",0.12213141725160187,4.21,1
190,"[2872, 3047, 3650, 3937, 4220, 4310, 4486]","[1078, 2564, 3768, 6018, 10087, 18513, 0]",0.11212907501166136,4.38,1
191,"[2872, 3047, 3650, 3937, 4220, 4310, 4486]","[1078, 2564, 3768, 6018, 10994, 18513, 0]",0.10652515770416288,4.48,1
194,"[2701, 3047, 3650, 3937, 4220, 4310, 4486]","[1078, 2564, 3768, 6018, 10994, 18513, 0]",0.09209614976446476,4.77,1
195,"[2400, 3047, 3650, 3937, 4220, 4310, 4486]","[1078, 2564, 3768, 6018, 10994, 18513, 0]",0.06198679925093499,5.56,1
197,"[2400, 3047, 3650, 3937, 4220, 4310, 4486]","[1078, 2564, 3768, 6018, 10994, 18513, 0]",0.06198679925093499,5.56,1
200,"[2400, 3047, 3650, 3937, 4220, 4310, 4486]","[1078, 2564, 3768, 4820, 10994, 18513, 0]",0.07296085656664483,5.24,1
203,"[2400, 3047, 3650, 3937, 4220, 4310, 4486]","[1078, 2564, 3768, 4341, 10994, 18513, 0]",0.08076113141093089,5.03,1
207,"[2400, 3047, 3650, 3937, 4220, 4310, 4486]","[1078, 2564, 3768, 5791, 10994, 18513, 0]",0.06415233566108304,5.49,1
208,"[2400, 3047, 3650, 3937, 4220, 4320, 4486]","[1078, 2564, 3768, 5791, 10994, 18513, 0]",0.06195945583899146,5.56,1
213,"[2400, 3178, 3650, 3937, 4220, 4320, 4486]","[1078, 2564, 3768, 5791, 10994, 18513, 0]",0.0747525396433313,5.19,1
214,"[2400, 3178, 3650, 3937, 4220, 4320, 4486]","[1078, 2564, 3768, 5791, 8297, 18513, 0]",0.08528829740564695,4.92,1
217,"[2400, 3178, 3650, 3937, 4220, 4320, 4486]","[1078, 2564, 3768, 5791, 8297, 17863, 0]",0.08441429120369737,4.94,1
226,"[2400, 3178, 3650, 3937, 4220, 4320, 4486]","[1078, 2564, 3768, 5791, 8297, 15290, 0]",0.07282178165132412,5.24,1
233,"[2400, 3178, 3557, 3937, 4220, 4320, 4486]","[1078, 2564, 3768, 5791, 8297, 15290, 0]",0.06643982024516376,5.42,1
238,"[2402, 3178, 3557, 3937, 4220, 4320, 4486]","[1078, 2564, 3768, 5791, 8297, 15290, 0]",0.06662359545442166,5.42,1
245,"[2402, 3240, 3557, 3937, 4220, 4320, 4486]","[1078, 2564, 3768, 5791, 8297, 15290, 0]",0.06857733427658612,5.36,1
248,"[2402, 3240, 3557, 3937, 4220, 4320, 4486]","[1078, 2564, 3768, 7643, 8297, 15290, 0]",0.07318219293960011,5.23,1
259,"[2402, 3240, 3557, 3937, 4220, 4320, 4486]","[1078, 2564, 3768, 7643, 8297, 14052, 0]",0.06875684717178504,5.35,1
262,"[2402, 3240, 3557, 3937, 4220, 4320, 4486]","[1078, 2564, 3768, 7643, 8297, 15563, 0]",0.07767263024450557,5.11,1
271,"[2402, 3240, 3557, 3937, 4220, 4320, 4486]","[1078, 2564, 3768, 7643, 8297, 15563, 0]",0.07767263024450557,5.11,0
272,"[2402, 3240, 3557, 3937, 4220, 4320, 4486]","[1078, 2564, 3768, 7643, 7977, 15563, 0]",0.07426286985740135,5.2,1
274,"[2402, 3240, 3557, 3937, 4220, 4320, 4486]","[1078, 2564, 4012, 7643, 7977, 15563, 0]",0.08437168751615641,4.95,1
277,"[2402, 3240, 3313, 3937, 4220, 4320, 4486]","[1078, 2564, 4012, 7643, 7977, 15563, 0]",0.05987491970618176,5.63,1
283,"[2402, 3196, 3313, 3937, 4220, 4320, 4486]","[1078, 2564, 4012, 7643, 7977, 15563, 0]",0.05739094335683415,5.72,1
289,"[2402, 3196, 3313, 3937, 4220, 4320, 4486]","[1078, 2564, 4012, 7643, 7977, 13228, 0]",0.04840378135176879,6.06,1
291,"[2402, 2827, 3313, 3937, 4220, 4320, 4486]","[1078, 2564, 4012, 7643, 7977, 13228, 0]",0.03329441822365405,6.8,1
293,"[2402, 2827, 3313, 3937, 4220, 4320, 4486]","[1078, 2564, 5976, 7643, 7977, 13228, 0]",0.13212183459329874,4.05,1
297,"[2400, 2827, 3313, 3937, 4220, 4320, 4486]","[1078, 2564, 5976, 7643, 7977, 13228, 0]",0.12991728387708867,4.08,1
307,"[2400, 2827, 3313, 3937, 4220, 4320, 4486]","[1078, 2564, 5976, 7643, 8696, 13228, 0]",0.12846219179776472,4.1,1
308,"[2400, 2827, 3313, 3937, 4220, 4320, 4486]","[1078, 2564, 5976, 7643, 8064, 13228, 0]",0.12898482078738746,4.1,1
312,"[2400, 2827, 3313, 3937, 4220, 4320, 4486]","[1078, 2564, 5700, 7643, 8064, 13228, 0]",0.14257996629049588,3.9,1
324,"[2400, 2827, 3313, 3937, 4220, 4320, 4486]","[1078, 2564, 4685, 7643, 8064, 13228, 0]",0.07678207034015891,5.13,1
327,"[2763, 2827, 3313, 3937, 4220, 4320, 4486]","[1078, 2564, 4685, 7643, 8064, 13228, 0]",0.08132316475067905,5.02,1
331,"[2763, 2827, 3313, 3937, 4220, 4320, 4486]","[1078, 2564, 4685, 7643, 8064, 13228, 0]",0.08132316475067905,5.02,0
337,"[2763, 2827, 3313, 3937, 4220, 4320, 4486]","[1078, 2564, 4685, 7643, 8064, 13228, 0]",0.08132316475067905,5.02,0
340,"[2763, 3118, 3313, 3937, 4220, 4320, 4486]","[1078, 2564, 4685, 7643, 8064, 13228, 0]",0.0955998850829625,4.7,1
344,"[2763, 3118, 3313, 3937, 4220, 4320, 4346]","[1078, 2564, 4685, 7643, 8064, 13228, 0]",0.09196254074209965,4.77,1
346,"[2763, 3118, 3313, 3937, 4220, 4320, 4346]","[1078, 2564, 4685, 7643, 8064, 12424, 0]",0.09055394814278471,4.8,1
355,"[2763, 3118, 3313, 3937, 4220, 4320, 4346]","[1120, 2564, 4685, 7643, 8064, 12424, 0]",0.09547226292453899,4.7,1
357,"[2763, 2975, 3313, 3937, 4220, 4320, 4346]","[1120, 2564, 4685, 7643, 8064, 12424, 0]",0.09206247126280684,4.77,1
363,"[2763, 2975, 3313, 3937, 4220, 4320, 4346]","[1120, 2564, 4685, 6874, 8064, 12424, 0]",0.09003307427245733,4.82,1
374,"[2763, 2975, 3313, 3739, 4220, 4320, 4346]","[1120, 2564, 4685, 6874, 8064, 12424, 0]",0.11821775363142133,4.27,1
385,"[2763, 2975, 3313, 3686, 4220, 4320, 4346]","[1120, 2564, 4685, 6874, 8064, 12424, 0]",0.11427306081869477,4.34,1
386,"[2763, 2975, 3313, 3686, 4220, 4320, 4346]","[1120, 2564, 4685, 6874, 10958, 12424, 0]",0.10016600914455445,4.6,1
394,"[2763, 2975, 3313, 3686, 4220, 4320, 4500]","[1120, 2564, 4685, 6874, 10958, 12424, 0]",0.12116837453210494,4.22,1
