Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[3274, 3713, 3812, 4069, 4159, 4233, 4500]","[1366, 2920, 6174, 7126, 7293, 21398, 0]",0.3115473005925615,2.33,1
2,"[3274, 3713, 3812, 4069, 4159, 4233, 4500]","[2187, 2920, 6174, 7126, 7293, 21398, 0]",0.36871340490661614,2.0,1
4,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2920, 6174, 7126, 7293, 21398, 0]",0.38311605282824246,1.92,1
5,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2920, 6174, 7126, 7293, 21398, 0]",0.38311605282824246,1.92,0
10,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 3879, 6174, 7126, 7293, 21398, 0]",0.4531593561811985,1.58,1
16,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2475, 6174, 7126, 7293, 21398, 0]",0.3412625107183773,2.15,1
20,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2475, 6174, 7126, 7293, 21398, 0]",0.3412625107183773,2.15,1
22,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2475, 6174, 7126, 7293, 21398, 0]",0.3412625107183773,2.15,1
26,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2475, 3713, 7126, 7293, 21398, 0]",0.2674619310540282,2.64,1
34,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2475, 3713, 7126, 7293, 25868, 0]",0.2868854019772425,2.5,1
36,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2475, 3713, 5092, 7293, 25868, 0]",0.31663153996389914,2.3,1
42,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2475, 3713, 4625, 7293, 25868, 0]",0.3131327014330924,2.32,1
47,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2475, 3713, 5933, 7293, 25868, 0]",0.30549467558667454,2.37,1
50,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2475, 3713, 5933, 7293, 28028, 0]",0.28598065571421916,2.5,1
56,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2475, 4361, 5933, 7293, 28028, 0]",0.2418984854034208,2.84,1
61,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2475, 4361, 5933, 7293, 28028, 0]",0.2418984854034208,2.84,0
69,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2475, 3535, 5933, 7293, 28028, 0]",0.3002796837978744,2.41,1
77,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2475, 3535, 5933, 7293, 28645, 0]",0.27800696346839987,2.56,1
85,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2764, 3535, 5933, 7293, 28645, 0]",0.2577685287149203,2.71,1
87,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 2764, 3535, 5933, 7293, 28558, 0]",0.2613182966618354,2.68,1
96,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 3202, 3535, 5933, 7293, 28558, 0]",0.23106462725216123,2.93,1
108,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 3202, 3535, 5933, 7293, 28094, 0]",0.2510527525578895,2.76,1
113,"[3274, 3713, 3812, 4069, 4159, 4200, 4500]","[2187, 3202, 3535, 5933, 7293, 27289, 0]",0.2783340662997541,2.56,1
119,"[3274, 3713, 3812, 3915, 4159, 4200, 4500]","[2187, 3202, 3535, 5933, 7293, 27289, 0]",0.30718044327506516,2.36,1
121,"[3274, 3713, 3812, 3915, 4159, 4200, 4500]","[2187, 3202, 3535, 5933, 7293, 22589, 0]",0.33487025068150994,2.19,1
124,"[3274, 3713, 3812, 3915, 4159, 4200, 4500]","[2187, 3202, 3535, 5933, 7293, 20567, 0]",0.28296821775599357,2.52,1
130,"[3274, 3713, 3812, 3915, 4159, 4200, 4500]","[2187, 3202, 3535, 5933, 7293, 21608, 0]",0.30834847611857763,2.35,1
134,"[3274, 3713, 3812, 3915, 4159, 4200, 4500]","[2187, 3202, 3535, 5933, 7293, 21608, 0]",0.30834847611857763,2.35,0
151,"[2804, 3713, 3812, 3915, 4159, 4200, 4500]","[2187, 3202, 3535, 5933, 7293, 21608, 0]",0.1795980589040414,3.43,1
162,"[2804, 3713, 3812, 3985, 4159, 4200, 4500]","[2187, 3202, 3535, 5933, 7293, 21608, 0]",0.16343955111260838,3.62,1
163,"[3457, 3713, 3812, 3985, 4159, 4200, 4500]","[2187, 3202, 3535, 5933, 7293, 21608, 0]",0.3209508092011702,2.27,1
166,"[3457, 3713, 3812, 3985, 4159, 4200, 4500]","[2187, 3202, 3535, 5933, 12002, 21608, 0]",0.34608393228765433,2.12,1
169,"[3457, 3713, 3812, 3985, 4159, 4200, 4500]","[2187, 3202, 4580, 5933, 12002, 21608, 0]",0.3185471976562869,2.29,1
171,"[3457, 3713, 3812, 4091, 4159, 4200, 4500]","[2187, 3202, 4580, 5933, 12002, 21608, 0]",0.2953166041156616,2.44,1
173,"[3457, 3713, 3812, 4091, 4159, 4200, 4500]","[2187, 3202, 4580, 5933, 12078, 21608, 0]",0.2935347007724621,2.45,1
181,"[3457, 3713, 3812, 4091, 4159, 4200, 4500]","[2187, 3202, 4580, 5933, 12078, 23078, 0]",0.23518260605996336,2.89,1
190,"[3457, 3713, 3812, 4091, 4159, 4200, 4500]","[2187, 3202, 4580, 5933, 12078, 19639, 0]",0.30808942964807057,2.35,1
191,"[3457, 3713, 3812, 4091, 4159, 4205, 4500]","[2187, 3202, 4580, 5933, 12078, 19639, 0]",0.3047806836442355,2.38,1
