Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[3886, 3916, 3965, 4000, 4191, 4230, 4500]","[1240, 3210, 4189, 4674, 11273, 26081, 0]",0.413229014674799,1.77,1
2,"[3886, 3916, 3965, 4000, 4191, 4230, 4278]","[1240, 3210, 4189, 4674, 11273, 26081, 0]",0.35057953127954067,2.1,1
17,"[3886, 3916, 3965, 4000, 4191, 4230, 4278]","[1240, 3210, 4189, 4674, 11273, 22917, 0]",0.3557373243637909,2.07,1
19,"[3886, 3916, 3965, 4000, 4191, 4230, 4278]","[1240, 3210, 4189, 5281, 11273, 22917, 0]",0.33666271831502054,2.18,1
23,"[3298, 3916, 3965, 4000, 4191, 4230, 4278]","[1240, 3210, 4189, 5281, 11273, 22917, 0]",0.30975169631851834,2.34,1
28,"[3298, 3916, 3965, 4000, 4191, 4230, 4278]","[1702, 3210, 4189, 5281, 11273, 22917, 0]",0.267457006904773,2.64,1
29,"[3298, 3916, 3963, 4000, 4191, 4230, 4278]","[1702, 3210, 4189, 5281, 11273, 22917, 0]",0.2672047738922966,2.64,1
30,"[3298, 3916, 3963, 4000, 4191, 4230, 4278]","[1702, 3210, 4189, 5281, 9734, 22917, 0]",0.27142505977422354,2.61,1
31,"[3298, 3916, 3963, 4000, 4191, 4230, 4278]","[1702, 3210, 4189, 4658, 9734, 22917, 0]",0.2923083850379271,2.46,1
34,"[3298, 3916, 3963, 4000, 4191, 4230, 4278]","[1702, 3210, 4189, 4658, 6962, 22917, 0]",0.28814080649567514,2.49,1
39,"[3031, 3916, 3963, 4000, 4191, 4230, 4278]","[1702, 3210, 4189, 4658, 6962, 22917, 0]",0.22832384031293207,2.95,1
56,"[3031, 3916, 3963, 4000, 4096, 4230, 4278]","[1702, 3210, 4189, 4658, 6962, 22917, 0]",0.2120647709426955,3.1,1
70,"[3295, 3916, 3963, 4000, 4096, 4230, 4278]","[1702, 3210, 4189, 4658, 6962, 22917, 0]",0.2672100218804428,2.64,1
73,"[3314, 3916, 3963, 4000, 4096, 4230, 4278]","[1702, 3210, 4189, 4658, 6962, 22917, 0]",0.2697699196906976,2.62,1
90,"[3704, 3916, 3963, 4000, 4096, 4230, 4278]","[1702, 3210, 4189, 4658, 6962, 22917, 0]",0.3127168740909001,2.32,1
93,"[3704, 3754, 3963, 4000, 4096, 4230, 4278]","[1702, 3210, 4189, 4658, 6962, 22917, 0]",0.3076961205892312,2.36,1
99,"[3704, 3754, 3963, 4000, 4096, 4230, 4500]","[1702, 3210, 4189, 4658, 6962, 22917, 0]",0.33834853012022664,2.17,1
116,"[3704, 3754, 3963, 4000, 4096, 4230, 4500]","[1702, 2204, 4189, 4658, 6962, 22917, 0]",0.35840241110869797,2.05,1
119,"[3704, 3754, 3963, 4000, 4096, 4230, 4500]","[1702, 2204, 3682, 4658, 6962, 22917, 0]",0.3410093684904763,2.15,1
129,"[3704, 3754, 3963, 4000, 4096, 4230, 4500]","[1702, 2204, 3682, 4658, 6962, 22917, 0]",0.3410093684904763,2.15,1
133,"[3704, 3754, 3963, 4000, 4096, 4230, 4500]","[1702, 2204, 3682, 4658, 6962, 22917, 0]",0.3410093684904763,2.15,1
134,"[3704, 3754, 3963, 4000, 4096, 4230, 4500]","[1702, 2204, 3682, 4658, 6962, 22917, 0]",0.3410093684904763,2.15,1
137,"[3704, 3754, 3963, 4000, 4096, 4230, 4500]","[1702, 2204, 3682, 4658, 6962, 25296, 0]",0.36479100112274065,2.02,1
138,"[3704, 3754, 3963, 4000, 4096, 4230, 4500]","[1702, 2204, 3682, 4658, 6962, 28633, 0]",0.44059553419784897,1.64,1
145,"[3704, 3754, 3963, 4000, 4096, 4230, 4500]","[1702, 2204, 3682, 4658, 8319, 28633, 0]",0.39560884348354847,1.85,1
150,"[3704, 3754, 3963, 4070, 4096, 4230, 4500]","[1702, 2204, 3682, 4658, 8319, 28633, 0]",0.37652825384391214,1.95,1
154,"[3704, 3754, 3963, 4070, 4096, 4230, 4500]","[1702, 2204, 3682, 4658, 13028, 28633, 0]",0.27845661921594883,2.56,1
159,"[3704, 3898, 3963, 4070, 4096, 4230, 4500]","[1702, 2204, 3682, 4658, 13028, 28633, 0]",0.2804794094776696,2.54,1
162,"[3636, 3898, 3963, 4070, 4096, 4230, 4500]","[1702, 2204, 3682, 4658, 13028, 28633, 0]",0.2767907293705496,2.57,1
164,"[3636, 3898, 3963, 4070, 4096, 4230, 4500]","[1702, 2574, 3682, 4658, 13028, 28633, 0]",0.2683770688014729,2.63,1
181,"[3636, 3898, 3963, 4070, 4096, 4230, 4500]","[1702, 3228, 3682, 4658, 13028, 28633, 0]",0.24805915942960666,2.79,1
222,"[3636, 3898, 3963, 4070, 4096, 4230, 4500]","[1702, 3179, 3682, 4658, 13028, 28633, 0]",0.2497670653620031,2.77,1
223,"[3636, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 4658, 13028, 28633, 0]",0.2460906503524083,2.8,1
230,"[3636, 3898, 3963, 4070, 4096, 4194, 4264]","[1702, 3179, 3682, 4658, 13028, 28633, 0]",0.26846039284894607,2.63,1
235,"[3636, 3898, 3963, 4070, 4096, 4194, 4264]","[1702, 3179, 3682, 4658, 13028, 26060, 0]",0.2852574640752224,2.51,1
246,"[3636, 3898, 3963, 4070, 4096, 4194, 4264]","[1702, 3179, 3682, 4658, 13028, 25096, 0]",0.2922491944188486,2.46,1
249,"[3636, 3898, 3963, 4070, 4096, 4194, 4264]","[1702, 3179, 3682, 4658, 13028, 22529, 0]",0.29552441145347624,2.44,1
251,"[3636, 3898, 3963, 4070, 4096, 4194, 4264]","[1702, 3179, 3682, 4162, 13028, 22529, 0]",0.2970984985814089,2.43,1
255,"[3446, 3898, 3963, 4070, 4096, 4194, 4264]","[1702, 3179, 3682, 4162, 13028, 22529, 0]",0.2791190475739206,2.55,1
260,"[3446, 3898, 3963, 4070, 4096, 4194, 4264]","[1702, 3179, 3682, 4162, 8399, 22529, 0]",0.2782570098760408,2.56,1
271,"[3446, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 4162, 8399, 22529, 0]",0.3067893935285537,2.36,1
272,"[3446, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 4162, 8399, 22529, 0]",0.3067893935285537,2.36,1
273,"[3446, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 6875, 8399, 22529, 0]",0.36599101640900444,2.01,1
283,"[3446, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 5177, 8399, 22529, 0]",0.3180338461926753,2.29,1
284,"[3446, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 5177, 7052, 22529, 0]",0.30915263680009497,2.35,1
285,"[3446, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 5177, 7052, 22529, 0]",0.30948076520044954,2.35,1
288,"[3446, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 5177, 7052, 20973, 0]",0.2917399682446116,2.46,1
293,"[3446, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 3830, 7052, 20973, 0]",0.2584427384353688,2.71,1
298,"[3446, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 3830, 7052, 20973, 0]",0.2584427384353688,2.71,0
308,"[3446, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 3830, 7772, 20973, 0]",0.2790457745968059,2.55,1
316,"[3446, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 3830, 8041, 20973, 0]",0.28453199599428647,2.51,1
322,"[3446, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 6802, 8041, 20973, 0]",0.30138177600405575,2.4,1
325,"[3121, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 6802, 8041, 20973, 0]",0.25308744833646146,2.75,1
333,"[3121, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 6802, 9530, 20973, 0]",0.2970169012055366,2.43,1
334,"[3121, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 6802, 6874, 20973, 0]",0.23337431849599308,2.91,1
335,"[3595, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 6802, 6874, 20973, 0]",0.3054222294837746,2.37,1
340,"[3595, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 6802, 6874, 23815, 0]",0.3776788789181725,1.95,1
342,"[3595, 3898, 3963, 4070, 4096, 4194, 4500]","[1702, 3179, 3682, 6802, 6874, 23815, 0]",0.3776788789181725,1.95,0
357,"[3595, 3898, 3963, 4070, 4096, 4393, 4500]","[1702, 3179, 3682, 6802, 6874, 23815, 0]",0.23459813040729324,2.9,1
359,"[3595, 3898, 3963, 4070, 4223, 4393, 4500]","[1702, 3179, 3682, 6802, 6874, 23815, 0]",0.2656467620338998,2.65,1
384,"[3595, 3898, 3963, 4070, 4223, 4393, 4500]","[1950, 3179, 3682, 6802, 6874, 23815, 0]",0.2546450165495048,2.74,1
385,"[3595, 3898, 3963, 4070, 4223, 4393, 4500]","[1950, 3179, 3682, 4804, 6874, 23815, 0]",0.31830320558719005,2.29,1
390,"[3595, 3898, 3963, 4070, 4223, 4393, 4500]","[1950, 3179, 3682, 4804, 6874, 23482, 0]",0.31851235485984436,2.29,1
394,"[3595, 3898, 3963, 4070, 4223, 4393, 4500]","[1950, 3179, 3682, 4804, 6874, 22975, 0]",0.3163925760857085,2.3,1
401,"[3595, 3898, 3963, 4070, 4223, 4393, 4500]","[1950, 3179, 3682, 4804, 6874, 22975, 0]",0.3163925760857085,2.3,0
407,"[3595, 3898, 3963, 4070, 4223, 4393, 4500]","[1950, 3179, 3682, 4804, 6874, 19949, 0]",0.28140386605997275,2.54,1
409,"[3595, 3898, 3963, 4070, 4223, 4393, 4500]","[1950, 3179, 3682, 4804, 6874, 19949, 0]",0.28140386605997275,2.54,1
418,"[3595, 3898, 3963, 4070, 4223, 4393, 4500]","[1950, 3179, 3682, 6418, 6874, 19949, 0]",0.24171798037470774,2.84,1
432,"[3595, 3898, 3963, 4070, 4116, 4393, 4500]","[1950, 3179, 3682, 6418, 6874, 19949, 0]",0.22011299755048003,3.03,1
448,"[3595, 3898, 3963, 4070, 4116, 4393, 4500]","[1950, 2359, 3682, 6418, 6874, 19949, 0]",0.24443522696206393,2.82,1
450,"[3595, 3898, 3963, 4070, 4116, 4393, 4500]","[1950, 2359, 3682, 6418, 11023, 19949, 0]",0.2431140232818318,2.83,1
454,"[3595, 3898, 3963, 4070, 4116, 4393, 4500]","[1950, 2359, 3682, 6418, 11023, 19510, 0]",0.24155763880472542,2.84,1
455,"[3595, 3898, 3963, 4070, 4116, 4393, 4500]","[1950, 2359, 3682, 6418, 11023, 18143, 0]",0.24005327795546114,2.85,1
457,"[3595, 3898, 3963, 4070, 4116, 4393, 4500]","[1950, 2359, 3682, 6418, 11023, 18143, 0]",0.24005327795546114,2.85,1
465,"[3595, 3718, 3963, 4070, 4116, 4393, 4500]","[1950, 2359, 3682, 6418, 11023, 18143, 0]",0.2487694629095759,2.78,1
467,"[3595, 3718, 3963, 4070, 4116, 4393, 4500]","[1950, 2359, 3682, 10525, 11023, 18143, 0]",0.26626503102907306,2.65,1
470,"[3595, 3718, 3853, 4070, 4116, 4393, 4500]","[1950, 2359, 3682, 10525, 11023, 18143, 0]",0.23244488802412183,2.92,1
471,"[3595, 3718, 3853, 4070, 4116, 4393, 4500]","[1950, 2359, 3682, 7121, 11023, 18143, 0]",0.21999200195244484,3.03,1
475,"[3595, 3718, 3853, 4070, 4116, 4393, 4500]","[1950, 3184, 3682, 7121, 11023, 18143, 0]",0.21952011415806177,3.03,1
480,"[3595, 3718, 3853, 4070, 4116, 4393, 4500]","[1950, 3184, 3682, 7121, 11936, 18143, 0]",0.23709662830860082,2.88,1
503,"[3595, 3718, 3853, 4070, 4116, 4393, 4500]","[1950, 3184, 3682, 7121, 13544, 18143, 0]",0.2128577219625949,3.09,1
507,"[3595, 3718, 3853, 3895, 4116, 4393, 4500]","[1950, 3184, 3682, 7121, 13544, 18143, 0]",0.23324723283609536,2.91,1
