Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[3154, 3432, 3523, 3580, 3659, 3707, 4131]","[1058, 2330, 6058, 7326, 8056, 8587, 0]",0.32917137703357463,2.22,1
2,"[3154, 3432, 3523, 3580, 3659, 3707, 4131]","[1058, 2330, 6058, 7326, 8056, 8587, 0]",0.32917137703357463,2.22,0
5,"[3154, 3432, 3523, 3567, 3659, 3707, 4131]","[1058, 2330, 6058, 7326, 8056, 8587, 0]",0.3309940897375537,2.21,1
9,"[3154, 3432, 3523, 3567, 3659, 3707, 4131]","[1058, 2330, 7067, 7326, 8056, 8587, 0]",0.28828645637180234,2.49,1
34,"[3154, 3432, 3523, 3567, 3659, 3707, 4500]","[1058, 2330, 7067, 7326, 8056, 8587, 0]",0.27526588158128823,2.58,1
37,"[3154, 3432, 3523, 3567, 3659, 3707, 4500]","[1058, 2330, 7067, 7326, 8056, 8587, 0]",0.27526588158128823,2.58,0
40,"[3154, 3432, 3523, 3567, 3659, 3707, 4500]","[1058, 2330, 7067, 7326, 8056, 8587, 0]",0.27526588158128823,2.58,1
42,"[3154, 3432, 3523, 3567, 3659, 3707, 4500]","[1058, 3532, 7067, 7326, 8056, 8587, 0]",0.06020021999142268,5.62,1
84,"[3154, 3432, 3523, 3567, 3659, 3707, 3879]","[1058, 3532, 7067, 7326, 8056, 8587, 0]",0.1348671515528416,4.01,1
86,"[3154, 3270, 3523, 3567, 3659, 3707, 3879]","[1058, 3532, 7067, 7326, 8056, 8587, 0]",0.11407319818090324,4.34,1
92,"[3154, 3270, 3523, 3567, 3659, 3707, 3879]","[1058, 3532, 7067, 7326, 8056, 8587, 0]",0.11407319818090324,4.34,0
96,"[2484, 3270, 3523, 3567, 3659, 3707, 3879]","[1058, 3532, 7067, 7326, 8056, 8587, 0]",0.1238574962178644,4.18,1
104,"[2951, 3270, 3523, 3567, 3659, 3707, 3879]","[1058, 3532, 7067, 7326, 8056, 8587, 0]",0.12206459052775837,4.21,1
109,"[2951, 3270, 3523, 3567, 3659, 3707, 3879]","[1058, 3532, 6694, 7326, 8056, 8587, 0]",0.13172434846841766,4.05,1
117,"[2951, 3270, 3523, 3567, 3659, 3707, 3879]","[1058, 3532, 6694, 7025, 8056, 8587, 0]",0.14177835652864781,3.91,1
127,"[2951, 3270, 3523, 3567, 3659, 3707, 3879]","[1058, 3532, 6694, 7025, 8056, 8587, 0]",0.14177835652864781,3.91,0
141,"[2951, 3270, 3523, 3567, 3659, 3707, 3879]","[1058, 2702, 6694, 7025, 8056, 8587, 0]",0.19756096714785212,3.24,1
142,"[2951, 3270, 3523, 3567, 3659, 3707, 4278]","[1058, 2702, 6694, 7025, 8056, 8587, 0]",0.2906296662629743,2.47,1
144,"[2951, 3270, 3523, 3567, 3659, 3707, 4278]","[1058, 2702, 6694, 7025, 8056, 8587, 0]",0.2906296662629743,2.47,0
148,"[3166, 3270, 3523, 3567, 3659, 3707, 4278]","[1058, 2702, 6694, 7025, 8056, 8587, 0]",0.3016100889738663,2.4,1
161,"[3166, 3270, 3523, 3567, 3659, 3707, 4278]","[1058, 2702, 6694, 6785, 8056, 8587, 0]",0.3310568515312152,2.21,1
167,"[3166, 3270, 3523, 3567, 3659, 3686, 4278]","[1058, 2702, 6694, 6785, 8056, 8587, 0]",0.3233622628423624,2.26,1
168,"[3166, 3270, 3523, 3567, 3659, 3686, 4278]","[1058, 2702, 3651, 6785, 8056, 8587, 0]",0.07006746095490059,5.32,1
169,"[3166, 3270, 3523, 3567, 3659, 4101, 4278]","[1058, 2702, 3651, 6785, 8056, 8587, 0]",0.0778929533820186,5.1,1
178,"[3166, 3270, 3523, 3567, 4012, 4101, 4278]","[1058, 2702, 3651, 6785, 8056, 8587, 0]",0.06163417583386738,5.57,1
180,"[3166, 3270, 3523, 3567, 4012, 4101, 4278]","[1058, 2702, 3651, 6785, 8056, 12733, 0]",0.08535772947748499,4.92,1
192,"[3166, 3270, 3523, 3567, 4012, 4101, 4278]","[1058, 2702, 3651, 6785, 8140, 12733, 0]",0.08638140292161677,4.9,1
198,"[3166, 3270, 3523, 3567, 4012, 4101, 4278]","[1058, 2702, 3651, 6785, 8140, 12733, 0]",0.08638140292161677,4.9,0
199,"[3166, 3270, 3523, 3567, 4012, 4101, 4278]","[1058, 2702, 3651, 6785, 8140, 12733, 0]",0.08638140292161677,4.9,0
216,"[3072, 3270, 3523, 3567, 4012, 4101, 4278]","[1058, 2702, 3651, 6785, 8140, 12733, 0]",0.08946024897728642,4.83,1
222,"[3072, 3270, 3523, 3567, 4012, 4101, 4278]","[1058, 2702, 3651, 6785, 8140, 12733, 0]",0.08946024897728642,4.83,0
223,"[3072, 3270, 3523, 3567, 4012, 4101, 4500]","[1058, 2702, 3651, 6785, 8140, 12733, 0]",0.11722752350210722,4.29,1
237,"[2882, 3270, 3523, 3567, 4012, 4101, 4500]","[1058, 2702, 3651, 6785, 8140, 12733, 0]",0.12708679272447615,4.13,1
238,"[2882, 3270, 3523, 3567, 4012, 4101, 4500]","[1058, 2702, 3651, 6785, 8140, 12733, 0]",0.12708679272447615,4.13,0
243,"[3020, 3270, 3523, 3567, 4012, 4101, 4500]","[1058, 2702, 3651, 6785, 8140, 12733, 0]",0.1197908911323017,4.24,1
248,"[3020, 3270, 3523, 3567, 3951, 4101, 4500]","[1058, 2702, 3651, 6785, 8140, 12733, 0]",0.1443502170747064,3.87,1
253,"[3020, 3270, 3523, 3567, 3951, 4101, 4500]","[1058, 2702, 3651, 6785, 8140, 12978, 0]",0.152765208915145,3.76,1
258,"[3020, 3270, 3523, 3567, 3951, 4101, 4500]","[1058, 2702, 3651, 6785, 8140, 12978, 0]",0.152765208915145,3.76,1
260,"[3020, 3270, 3523, 3567, 3951, 4101, 4500]","[1058, 2702, 3651, 6785, 8140, 12978, 0]",0.152765208915145,3.76,1
262,"[3020, 3270, 3523, 3567, 3951, 4101, 4500]","[1058, 3106, 3651, 6785, 8140, 12978, 0]",0.16674321772934173,3.58,1
267,"[3020, 3270, 3523, 3567, 3951, 4101, 4500]","[1058, 3106, 3651, 6785, 8140, 11422, 0]",0.11347177603715299,4.35,1
272,"[3020, 3270, 3523, 3567, 3951, 4101, 4500]","[1058, 3106, 3651, 5438, 8140, 11422, 0]",0.05598228429222433,5.77,1
277,"[2404, 3270, 3523, 3567, 3951, 4101, 4500]","[1058, 3106, 3651, 5438, 8140, 11422, 0]",0.06441197486828663,5.48,1
278,"[2404, 3270, 3523, 3567, 3951, 4103, 4500]","[1058, 3106, 3651, 5438, 8140, 11422, 0]",0.06417856672148875,5.49,1
281,"[2404, 3270, 3523, 3567, 3951, 4103, 4500]","[1058, 3106, 3651, 5438, 8140, 11422, 0]",0.06417856672148875,5.49,0
284,"[2404, 3233, 3523, 3567, 3951, 4103, 4500]","[1058, 3106, 3651, 5438, 8140, 11422, 0]",0.06034128524983687,5.62,1
299,"[2404, 3233, 3523, 3918, 3951, 4103, 4500]","[1058, 3106, 3651, 5438, 8140, 11422, 0]",0.05156220251467703,5.93,1
301,"[2899, 3233, 3523, 3918, 3951, 4103, 4500]","[1058, 3106, 3651, 5438, 8140, 11422, 0]",0.04393470762928793,6.25,1
303,"[2899, 3233, 3523, 3918, 3951, 4103, 4500]","[1058, 3106, 3651, 5437, 8140, 11422, 0]",0.044033363360699414,6.25,1
