Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[3485, 3632, 3700, 3897, 4037, 4106, 4495]","[1116, 3188, 4762, 6256, 6265, 12205, 0]",0.23686147722656237,2.88,1
2,"[3485, 3632, 3700, 3897, 4037, 4106, 4495]","[1116, 3188, 4762, 6256, 6265, 12205, 0]",0.23686147722656237,2.88,0
5,"[3485, 3632, 3700, 3884, 4037, 4106, 4495]","[1116, 3188, 4762, 6256, 6265, 12205, 0]",0.23726713674980804,2.88,1
9,"[3485, 3632, 3700, 3884, 4037, 4106, 4495]","[1116, 3188, 5771, 6256, 6265, 12205, 0]",0.1927651104199123,3.29,1
34,"[3485, 3632, 3700, 3884, 4037, 4106, 4500]","[1116, 3188, 5771, 6256, 6265, 12205, 0]",0.19301861295431616,3.29,1
49,"[3485, 3632, 3700, 3884, 4037, 4106, 4500]","[1116, 3188, 3840, 6256, 6265, 12205, 0]",0.16809514585284027,3.57,1
57,"[3485, 3632, 3700, 3884, 4037, 4106, 4500]","[1116, 3188, 3841, 6256, 6265, 12205, 0]",0.16813708438588051,3.57,1
59,"[3485, 3632, 3700, 3884, 4037, 4106, 4500]","[1116, 3188, 3841, 6256, 6265, 13300, 0]",0.1901406121135297,3.32,1
65,"[3485, 3632, 3700, 3884, 4037, 4106, 4500]","[1116, 1621, 3841, 6256, 6265, 13300, 0]",0.14331002837005918,3.89,1
67,"[3317, 3632, 3700, 3884, 4037, 4106, 4500]","[1116, 1621, 3841, 6256, 6265, 13300, 0]",0.15321876495706854,3.75,1
70,"[3317, 3632, 3700, 3884, 4037, 4317, 4500]","[1116, 1621, 3841, 6256, 6265, 13300, 0]",0.09777088063641082,4.65,1
74,"[3317, 3632, 3700, 3884, 4037, 4317, 4500]","[1116, 1621, 3841, 6256, 6265, 13213, 0]",0.09788455939718668,4.65,1
83,"[3317, 3632, 3700, 3884, 4037, 4317, 4500]","[1116, 2060, 3841, 6256, 6265, 13213, 0]",0.09013027823245465,4.81,1
92,"[3317, 3632, 3700, 3884, 4037, 4317, 4500]","[1116, 3461, 3841, 6256, 6265, 13213, 0]",0.1403295908698959,3.93,1
95,"[3317, 3632, 3700, 3884, 4037, 4317, 4500]","[1116, 3461, 3841, 6256, 6265, 12749, 0]",0.13790060747425506,3.96,1
106,"[2647, 3632, 3700, 3884, 4037, 4317, 4500]","[1116, 3461, 3841, 6256, 6265, 12749, 0]",0.14442371057428716,3.87,1
107,"[2647, 3632, 3700, 3884, 4037, 4317, 4500]","[1116, 3461, 3841, 6256, 6265, 14467, 0]",0.1339884362559022,4.02,1
118,"[2647, 3314, 3700, 3884, 4037, 4317, 4500]","[1116, 3461, 3841, 6256, 6265, 14467, 0]",0.10314541920503419,4.54,1
