Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[3230, 3723, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1946, 3057, 9973, 16361, 0]",0.37678166054682993,1.95,1
2,"[3230, 3723, 3840, 3878, 3924, 4012, 4466]","[1375, 1575, 1946, 3057, 9973, 16361, 0]",0.38814007212465723,1.89,1
7,"[3230, 3723, 3840, 3878, 3924, 4012, 4466]","[1375, 1575, 1946, 3057, 8674, 16361, 0]",0.38510327789948445,1.91,1
21,"[3230, 3723, 3840, 3878, 3924, 4012, 4466]","[1375, 1575, 1946, 2404, 8674, 16361, 0]",0.38186925208159894,1.93,1
31,"[3230, 3723, 3840, 3878, 3924, 4012, 4466]","[1375, 1575, 1946, 2404, 8674, 17185, 0]",0.39467413739286267,1.86,1
33,"[3230, 3723, 3840, 3878, 3924, 4012, 4466]","[1375, 1575, 1946, 2404, 8414, 17185, 0]",0.3914735649013384,1.88,1
36,"[3230, 3723, 3840, 3878, 3924, 4012, 4466]","[1375, 1575, 1783, 2404, 8414, 17185, 0]",0.3907767093882725,1.88,1
39,"[3230, 3723, 3840, 3878, 3924, 4012, 4466]","[1375, 1575, 1783, 2404, 6602, 17185, 0]",0.33171148097543857,2.21,1
51,"[3230, 3723, 3840, 3878, 3924, 4012, 4466]","[1375, 1575, 1783, 2404, 6602, 16557, 0]",0.29221400904405326,2.46,1
57,"[3230, 3723, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1783, 2404, 6602, 16557, 0]",0.27774554568314447,2.56,1
65,"[3230, 3723, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1783, 2404, 9885, 16557, 0]",0.38792884297432056,1.89,1
66,"[3230, 3723, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1783, 1869, 9885, 16557, 0]",0.3896195871772894,1.89,1
67,"[3230, 3811, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1783, 1869, 9885, 16557, 0]",0.392793298088718,1.87,1
71,"[3230, 3811, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1783, 1869, 8462, 16557, 0]",0.3610793686768388,2.04,1
90,"[3230, 3811, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1783, 1869, 8462, 15708, 0]",0.31853547951121486,2.29,1
91,"[3230, 3811, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1783, 1869, 8462, 15708, 0]",0.31853547951121486,2.29,0
92,"[3230, 3373, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1783, 1869, 8462, 15708, 0]",0.2782140507775191,2.56,1
95,"[3230, 3373, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1578, 1869, 8462, 15708, 0]",0.2710293908268595,2.61,1
99,"[3230, 3373, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1578, 1869, 8462, 15244, 0]",0.24750085557758686,2.79,1
110,"[3230, 3373, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1578, 1869, 8462, 15244, 0]",0.24750085557758686,2.79,0
118,"[3230, 3373, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1578, 7090, 8462, 15244, 0]",0.3910949771092734,1.88,1
127,"[3230, 3373, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1578, 6492, 8462, 15244, 0]",0.3717741992619404,1.98,1
133,"[2910, 3373, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1578, 6492, 8462, 15244, 0]",0.32233355307419237,2.26,1
136,"[2910, 3373, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1732, 6492, 8462, 15244, 0]",0.32620241850257753,2.24,1
142,"[2910, 3297, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1732, 6492, 8462, 15244, 0]",0.30914025792834426,2.35,1
153,"[2910, 3297, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1732, 6492, 8462, 15244, 0]",0.30914025792834426,2.35,1
154,"[2910, 3297, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1732, 6140, 8462, 15244, 0]",0.29753172186050497,2.42,1
155,"[3109, 3297, 3840, 3878, 3924, 4012, 4500]","[1375, 1575, 1732, 6140, 8462, 15244, 0]",0.34092813069679884,2.15,1
170,"[3109, 3297, 3682, 3878, 3924, 4012, 4500]","[1375, 1575, 1732, 6140, 8462, 15244, 0]",0.3393316650969804,2.16,1
192,"[3109, 3297, 3682, 3878, 3924, 4012, 4178]","[1375, 1575, 1732, 6140, 8462, 15244, 0]",0.36856839949812575,2.0,1
197,"[3109, 3297, 3682, 3878, 3924, 4012, 4178]","[1375, 1575, 1732, 6140, 8462, 12600, 0]",0.3678825510301929,2.0,1
213,"[3109, 3297, 3682, 3878, 3924, 4012, 4178]","[1375, 1575, 1732, 5733, 8462, 12600, 0]",0.3637185592541637,2.02,1
216,"[3109, 3297, 3682, 3878, 3924, 4012, 4178]","[1375, 1706, 1732, 5733, 8462, 12600, 0]",0.36286348733872115,2.03,1
224,"[3109, 3297, 3682, 3878, 3924, 4012, 4178]","[1375, 1706, 1732, 5733, 12029, 12600, 0]",0.38166943129031156,1.93,1
